session,held_month,matched_simple_reference,matched_mindful_reference,pattern_distance,robust_rate_distance,absolute_log_rate_ratio,unexpected_silent_channels,global_mindful_kld,multi_reference_mindful_kld,simple_evidence_count,combined_evidence_count,simple_decision,global_mindful_decision,multi_mindful_decision,combined_decision,windows,decoder_loss,decoder_r2_x,decoder_r2_y,decoder_r2_mean
indy_20160407_02,2016-04,2016-06,2016-10,0.6899920134518644,0.7939517562355078,0.08287547335291062,0,1.237010897329669,1.7235953910574862,0,0,pass,pass,pass,pass,378,0.44424893818204364,0.15664184093475342,0.30754852294921875,0.23209518194198608
indy_20160411_01,2016-04,2016-06,2016-06,0.8795741638593998,1.4167201462868835,0.6516424094504653,0,2.22211243396511,1.8911178090341672,0,0,pass,pass,pass,pass,446,0.454034973965632,0.3971523642539978,0.5180410146713257,0.45759668946266174
indy_20160411_02,2016-04,2016-12,2016-06,0.8776263806106694,2.1682234397771296,1.0992327689489125,0,1.8845767822500092,2.0081024419902427,2,2,abstain,pass,pass,abstain,409,0.4478502164434979,0.3519596457481384,0.46939098834991455,0.4106753170490265
indy_20160418_01,2016-04,2016-10,2016-06,0.9956881814058915,1.8410535026488004,0.8310484247469334,0,2.101362348411319,1.6839809470836098,1,1,warning,pass,pass,warning,648,0.47248937677454067,0.3724268078804016,0.5347239375114441,0.45357537269592285
indy_20160419_01,2016-04,2016-06,2016-09,0.9739960075895899,1.0711578435392146,0.08707715602163138,0,1.7135303527295305,2.0130494945904327,1,1,warning,pass,pass,warning,232,0.46620840927650187,0.342133104801178,0.3249317407608032,0.3335324227809906
indy_20160420_01,2016-04,2016-06,2016-06,0.8988515526411224,1.1489820826410864,0.31857930013429325,0,1.5042555387794785,1.4958519432157944,0,0,pass,pass,pass,pass,746,0.4916279966134488,0.4314236640930176,0.6129415035247803,0.5221825838088989
indy_20160426_01,2016-04,2016-12,2016-09,0.8238260523573372,2.2637549198443283,1.0618168788723656,0,1.7571973304638338,1.8553683372868979,2,2,abstain,pass,pass,abstain,851,0.44129176389736796,0.4410596489906311,0.5967612862586975,0.5189104676246643
indy_20160622_01,2016-06,2016-04,2016-09,0.8269622048416803,1.085030889078187,0.398387048418548,0,0.44946116084844046,0.7445380796452481,0,0,pass,pass,pass,pass,1194,0.3317835676490362,0.48941880464553833,0.43887799978256226,0.4641484022140503
indy_20160624_03,2016-06,2016-12,2016-09,0.3998603530637118,0.936260747881186,0.6064404397167682,0,1.399978169930815,0.5396905638652605,0,0,pass,pass,pass,pass,219,0.3503840922873858,0.5916122198104858,0.6563495993614197,0.6239809095859528
indy_20160627_01,2016-06,2016-10,2016-09,0.7194949820525749,1.891013129893048,0.8550720684903792,0,1.319857017830153,1.4724374957867468,0,0,pass,pass,pass,pass,1651,0.4298807550126462,0.5918071269989014,0.6948375701904297,0.6433223485946655
indy_20160630_01,2016-06,2016-04,2016-12,0.666322534500864,2.382093110941379,1.0705957688830114,2,7.440695016009165,3.6780051870301835,0,0,pass,pass,pass,pass,701,1.2467052856967724,-0.15271317958831787,-0.12024259567260742,-0.13647788763046265
indy_20160915_01,2016-09,2016-10,2016-10,0.654355480704019,0.7200880576428861,0.35346311956798293,1,2.231356717510354,0.44759346636191316,0,0,pass,pass,pass,pass,160,0.2955425987243652,0.6932616233825684,0.8014940023422241,0.7473778128623962
indy_20160916_01,2016-09,2016-10,2016-10,0.2847084189839074,0.6223220836653786,0.40030531923410545,0,2.6234288936169037,0.6154127633592703,0,0,pass,pass,pass,pass,195,0.2503791007017478,0.7408733367919922,0.7894501686096191,0.7651617527008057
indy_20160921_01,2016-09,2016-10,2016-10,0.18027590869883048,0.6886797174845178,0.4709681015724344,0,2.256692303328834,0.5242143826253991,0,0,pass,pass,pass,pass,150,0.3658142293294271,0.747028112411499,0.7741933465003967,0.7606107294559479
indy_20160927_04,2016-09,2016-10,2016-10,0.45185555990883475,0.7600852396701784,0.448849112705089,0,1.7967511780942462,0.4839498868882755,0,0,pass,pass,pass,pass,164,0.2997372590041742,0.6906000375747681,0.8178252577781677,0.7542126476764679
indy_20160927_06,2016-09,2016-10,2016-12,0.45188399111163335,0.4741388574241267,0.24010107857707993,0,1.8686213644289207,0.3441248308935503,0,0,pass,pass,pass,pass,180,0.41096085611979166,0.6069064140319824,0.7677884101867676,0.687347412109375
indy_20160930_02,2016-09,2016-12,2016-12,0.3501694931562088,0.9171428490423821,0.6233558643748202,0,3.1079953808539615,0.5255084505986889,0,0,pass,pass,pass,pass,200,0.33017464599609375,0.6897729635238647,0.7310848236083984,0.7104288935661316
indy_20160930_05,2016-09,2016-12,2016-12,0.44682243695841817,0.6492304985273281,0.4110361230314066,0,3.3290405089406043,0.3263066939082798,0,0,pass,pass,pass,pass,173,0.2838421913102872,0.6708760261535645,0.7816098928451538,0.7262429594993591
indy_20161005_06,2016-10,2016-09,2016-12,0.4168152828516075,0.7365992824071935,0.3287959747064808,1,5.2299202931504345,0.28507879734896147,0,0,pass,pass,pass,pass,157,0.3495461161425159,0.6541579961776733,0.7618703842163086,0.708014190196991
indy_20161006_02,2016-10,2016-09,2016-12,0.26169004306568544,0.4692807035948605,0.20105994028668944,0,3.8695931692901047,0.2151804178077058,0,0,pass,pass,pass,pass,221,0.3204352414230416,0.6167359352111816,0.7914345264434814,0.7040852308273315
