lookahead,nominal_ms,realized_ms,session,folds,test_r2_mean,test_r2_std,test_r2_min,test_r2_max
future50ms,50,48,loco_20170210_03,5,0.69321528673172,0.03250309887982076,0.650528609752655,0.731926441192627
future50ms,50,48,loco_20170215_02,5,0.6690786361694336,0.04302349163426243,0.6095690131187439,0.7135870456695557
future50ms,50,48,loco_20170301_05,5,0.7177417635917663,0.021778251479681064,0.6828621625900269,0.7368263602256775
future50ms,50,48,overall_fold_macro,15,0.6933452288309733,0.037270665015965605,0.6095690131187439,0.7368263602256775
future100ms,100,100,loco_20170210_03,5,0.697306501865387,0.033744023213086026,0.640609860420227,0.725875973701477
future100ms,100,100,loco_20170215_02,5,0.6623942732810975,0.05165327425241365,0.5896867513656616,0.7216500043869019
future100ms,100,100,loco_20170301_05,5,0.716670572757721,0.0482862359316208,0.6358079314231873,0.7581784725189209
future100ms,100,100,overall_fold_macro,15,0.6921237826347351,0.04789823121402185,0.5896867513656616,0.7581784725189209
