layer,split,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_roc_auc
f1_bp_cssd,training,0.6832805907172996,0.6833316029634448,0.6830127336770044,0.7532497953512667
f1_bp_cssd,validation,0.6371308016877637,0.6370802921260379,0.6335402732195665,0.6805435041513543
f2_erd_cssd,training,0.9008438818565401,0.9007821436428272,0.9008083424552579,0.9700136077358409
f2_erd_cssd,validation,0.790084388185654,0.7898291819790391,0.7892815256544343,0.8873445368858038
f3_bp_trend,training,0.8425632911392406,0.8426878464056379,0.8424986828286727,0.9204809842590548
f3_bp_trend,validation,0.7732067510548524,0.7731014784946236,0.7724524289308778,0.847298429631142
final_in_sample_fusion,training,0.9438291139240507,0.9438590148850557,0.9438237134697648,0.98858720998524
final_in_sample_fusion,validation,0.8502109704641351,0.8500445547502382,0.8493956164654848,0.9343737239689668
