fusion_training,subset,mean_accuracy,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,mean_macro_f1
in_sample,f1,0.6371308016877637,0.6373165618448636,0.037585228083523846,0.604755037455434,0.6367844957874896
in_sample,f2,0.790084388185654,0.7899357716086475,0.01956537972583857,0.7625085125986459,0.7899139731061555
in_sample,f3,0.7732067510548523,0.7732978140981986,0.0039698576743279505,0.7689580579257301,0.7731207169542689
in_sample,f1_f2,0.7943037974683543,0.7942488215892856,0.016087153041280663,0.7721427713015263,0.7942366435214833
in_sample,f1_f3,0.7753164556962026,0.77544766254056,0.008979418395463472,0.7690782357889677,0.7752555332841347
in_sample,f2_f3,0.8502109704641351,0.8503251478855374,0.012680123364360403,0.8324920882906702,0.8501576700993438
in_sample,f1_f2_f3,0.8502109704641351,0.8503251478855374,0.012673414117857891,0.8324920882906702,0.8501613048351072
inner_oof,f1,0.6329113924050632,0.6329500994805645,0.03611949011152222,0.6014902055041461,0.6327275175956536
inner_oof,f2,0.7890295358649789,0.7889009066752127,0.02150787930105527,0.7593638585105957,0.7888903273344422
inner_oof,f3,0.7721518987341772,0.7722095367811027,0.00939368706565653,0.7594439770860875,0.7721140733325823
inner_oof,f1_f2,0.7837552742616033,0.7837132289121232,0.010744770897565821,0.7689580579257301,0.7837247923876257
inner_oof,f1_f3,0.7732067510548523,0.7733378733859445,0.015809749777873607,0.7563794415735288,0.7731262531965907
inner_oof,f2_f3,0.8512658227848102,0.8513867190108027,0.013598867879636338,0.8324920882906702,0.8512080944309978
inner_oof,f1_f2_f3,0.8459915611814347,0.846092216480391,0.019338106840457513,0.8229780074510276,0.8459527257284005
