seed,fold,bin_number,prediction_time_ms,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,elapsed_seconds
42,1,1,50,252,64,0.515625,0.515625,0.5155067155067155,0.7585793327493775,0.025645999936386943
42,1,2,100,252,64,0.46875,0.46875,0.4666666666666667,0.8648905698223572,0.010736624943092465
42,1,3,150,252,64,0.5625,0.5625,0.5620723362658846,0.701866836368893,0.01011383393779397
42,1,4,200,252,64,0.59375,0.59375,0.5933528836754643,0.6568115446770981,0.010589541867375374
42,1,5,250,252,64,0.625,0.625,0.624633431085044,0.6688470413770815,0.011078082956373692
42,1,6,300,252,64,0.703125,0.703125,0.703052503052503,0.5957233471634429,0.011157249798998237
42,1,7,350,252,64,0.75,0.75,0.7490196078431373,0.5253128283769599,0.010734040988609195
42,1,8,400,252,64,0.703125,0.703125,0.7024712503058478,0.48986808012534144,0.010526333935558796
42,1,9,450,252,64,0.765625,0.765625,0.7655677655677655,0.38713470558602503,0.011904000071808696
42,1,10,500,252,64,0.84375,0.84375,0.84375,0.3687367368375955,0.01083275000564754
42,2,1,50,252,64,0.546875,0.546875,0.5467643467643468,0.8151129007133019,0.009012791095301509
42,2,2,100,252,64,0.5625,0.5625,0.5620723362658846,0.7863385791761159,0.009358833078294992
42,2,3,150,252,64,0.625,0.625,0.6235294117647059,0.7582230890959578,0.00936562498100102
42,2,4,200,252,64,0.640625,0.640625,0.6405372405372405,0.7479132822395393,0.009469666983932257
42,2,5,250,252,64,0.671875,0.671875,0.6711524345485687,0.7854163312668534,0.0097807920537889
42,2,6,300,252,64,0.71875,0.71875,0.71875,0.6928045596025011,0.010078415973111987
42,2,7,350,252,64,0.65625,0.65625,0.6559139784946236,0.628643356368743,0.010291832964867353
42,2,8,400,252,64,0.78125,0.78125,0.7803921568627451,0.5429091255581248,0.009990917053073645
42,2,9,450,252,64,0.78125,0.78125,0.78125,0.4773230323073677,0.010391624877229333
42,2,10,500,252,64,0.796875,0.796875,0.7964276975776854,0.4527420603787378,0.010087207891047001
42,3,1,50,253,63,0.5714285714285714,0.5730846774193548,0.5675057208237986,0.7678694053478218,0.009073666064068675
42,3,2,100,253,63,0.42857142857142855,0.42893145161290325,0.42842741935483875,0.905924689253637,0.009201749926432967
42,3,3,150,253,63,0.4444444444444444,0.44455645161290325,0.4444444444444444,0.8160082874746889,0.009403249947354198
42,3,4,200,253,63,0.4603174603174603,0.46018145161290325,0.46018145161290325,0.7745260386852499,0.009445250034332275
42,3,5,250,253,63,0.6666666666666666,0.6668346774193548,0.6666666666666666,0.6026418869670218,0.010598916094750166
42,3,6,300,253,63,0.6507936507936508,0.6512096774193548,0.6507056451612903,0.5573824949426669,0.012452000053599477
42,3,7,350,253,63,0.7301587301587301,0.7303427419354839,0.7301587301587301,0.49452891825646356,0.011560916900634766
42,3,8,400,253,63,0.8412698412698413,0.8412298387096775,0.8412298387096775,0.35107852621055397,0.010956875048577785
42,3,9,450,253,63,0.6984126984126984,0.6980846774193548,0.6981084489281211,0.4213398301756855,0.01122754206880927
42,3,10,500,253,63,0.7936507936507936,0.7943548387096775,0.7934426229508197,0.3743912841588162,0.013359999982640147
42,4,1,50,253,63,0.4444444444444444,0.44405241935483875,0.4438839848675914,0.8294200812736446,0.009415582986548543
42,4,2,100,253,63,0.5714285714285714,0.5715725806451613,0.5714285714285714,0.8029336201357103,0.009515250101685524
42,4,3,150,253,63,0.5714285714285714,0.5705645161290323,0.5696939033645332,0.7231950634461135,0.009660374838858843
42,4,4,200,253,63,0.5396825396825397,0.5398185483870968,0.5396825396825397,0.7309689923370527,0.00959050003439188
42,4,5,250,253,63,0.6825396825396826,0.6814516129032258,0.6805273833671399,0.6005821013126623,0.009846166940405965
42,4,6,300,253,63,0.7301587301587301,0.7293346774193548,0.7290665317480395,0.5352410912508706,0.009979583090171218
42,4,7,350,253,63,0.7777777777777778,0.7777217741935484,0.7777217741935484,0.44802840065577787,0.010010625002905726
42,4,8,400,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.36621769602485754,0.009982208954170346
42,4,9,450,253,63,0.9047619047619048,0.9047379032258065,0.9047379032258065,0.31431806969329823,0.010102417087182403
42,4,10,500,253,63,0.9047619047619048,0.905241935483871,0.9047379032258065,0.25554427332676005,0.009971582796424627
42,5,1,50,254,62,0.5967741935483871,0.596774193548387,0.5941345902068604,0.7452432386199143,0.008977665798738599
42,5,2,100,254,62,0.5967741935483871,0.5967741935483871,0.5966692688004163,0.7088816031017029,0.009003291139379144
42,5,3,150,254,62,0.5645161290322581,0.564516129032258,0.5634941329856584,0.6880159737835638,0.00942479190416634
42,5,4,200,254,62,0.5645161290322581,0.564516129032258,0.5634941329856584,0.6682277659695866,0.009473792044445872
42,5,5,250,254,62,0.532258064516129,0.532258064516129,0.5311603650586701,0.6968823613361401,0.00970904203131795
42,5,6,300,254,62,0.6612903225806451,0.6612903225806452,0.6590730557737627,0.6191748879002954,0.009957790840417147
42,5,7,350,254,62,0.7580645161290323,0.7580645161290323,0.7574967405475881,0.4934115287057421,0.010059959022328258
42,5,8,400,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.4394861560709972,0.010086500085890293
42,5,9,450,254,62,0.8225806451612904,0.8225806451612903,0.8214192196910186,0.39475290468709673,0.009969833074137568
42,5,10,500,254,62,0.8709677419354839,0.8709677419354838,0.87042842215256,0.36991857886356894,0.00994437513872981
43,1,1,50,252,64,0.5,0.5,0.4980392156862745,1.008506116155319,0.008938082959502935
43,1,2,100,252,64,0.390625,0.390625,0.3904761904761905,1.1378847197810487,0.009253458818420768
43,1,3,150,252,64,0.40625,0.40625,0.40625,1.0059143652214861,0.009187915828078985
43,1,4,200,252,64,0.5,0.5,0.49556650246305417,0.8795218331720965,0.009337417082861066
43,1,5,250,252,64,0.53125,0.53125,0.5294117647058824,0.8436676559671954,0.009591457899659872
43,1,6,300,252,64,0.625,0.625,0.624633431085044,0.7264852873563312,0.010121374856680632
43,1,7,350,252,64,0.71875,0.71875,0.718475073313783,0.5435634259885131,0.00991166615858674
43,1,8,400,252,64,0.796875,0.796875,0.7964276975776854,0.43781588664895044,0.009894875111058354
43,1,9,450,252,64,0.859375,0.859375,0.8590653290922436,0.3478552730247122,0.011559916194528341
43,1,10,500,252,64,0.859375,0.859375,0.8590653290922436,0.3154788365669675,0.011980875162407756
43,2,1,50,252,64,0.484375,0.484375,0.48323954000489355,0.8483720306314451,0.009353582980111241
43,2,2,100,252,64,0.5625,0.5625,0.5620723362658846,0.7198127599132403,0.009780500084161758
43,2,3,150,252,64,0.53125,0.53125,0.53125,0.6815645103174083,0.009768167044967413
43,2,4,200,252,64,0.578125,0.578125,0.577195987276731,0.6943630039309641,0.010958499973639846
43,2,5,250,252,64,0.65625,0.65625,0.6559139784946236,0.6241254735637336,0.010745540959760547
43,2,6,300,252,64,0.734375,0.734375,0.7343101343101344,0.625306224083984,0.0111282910220325
43,2,7,350,252,64,0.71875,0.71875,0.71875,0.5723513895530399,0.010238084010779858
43,2,8,400,252,64,0.78125,0.78125,0.78125,0.4546809653076915,0.010502999881282449
43,2,9,450,252,64,0.8125,0.8125,0.8123167155425219,0.359353601408837,0.010710000060498714
43,2,10,500,252,64,0.84375,0.84375,0.8435972629521017,0.33854264240726184,0.011199374916031957
43,3,1,50,253,63,0.4603174603174603,0.46018145161290325,0.46018145161290325,0.8182030717324171,0.00906837498769164
43,3,2,100,253,63,0.47619047619047616,0.47731854838709675,0.4740703263344296,0.7973462968120663,0.009179041953757405
43,3,3,150,253,63,0.5873015873015873,0.5887096774193548,0.584685598377282,0.7044524001352273,0.009330792119726539
43,3,4,200,253,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.6386393993574047,0.009355457965284586
43,3,5,250,253,63,0.6666666666666666,0.6653225806451613,0.6636155606407322,0.6678850645897085,0.00954437511973083
43,3,6,300,253,63,0.6984126984126984,0.6965725806451613,0.6934699103713189,0.6159107667424986,0.010146833956241608
43,3,7,350,253,63,0.7936507936507936,0.7933467741935484,0.7934426229508197,0.47296498466619924,0.010183624923229218
43,3,8,400,253,63,0.7619047619047619,0.7610887096774194,0.7609410574247407,0.41472663515895253,0.009929750114679337
43,3,9,450,253,63,0.8095238095238095,0.8084677419354839,0.808316430020284,0.4214439848336021,0.009916000068187714
