session,subject,test_reaches,test_bins,base_r2,encoder_corrected_r2,gru_corrected_r2,gru_minus_encoder_r2,ci95_low,ci95_high,reach_bootstrap_probability_positive,individual_ci_excludes_zero,validation_winner_all_four,source_metrics
indy_20160622_01,indy,94,4146,0.7819965481758118,0.8103375434875488,0.8152623176574707,0.004924774169921875,0.0005253821611404419,0.009102638065814971,0.986,True,gru_hidden_49,results/by_session/indy_20160622_01/metrics.json
indy_20160630_01,indy,102,3580,0.6341344714164734,0.6695541739463806,0.678415060043335,0.008860886096954346,0.0015861943364143371,0.015310572087764736,0.992,True,encoder_gru_49,results/by_session/indy_20160630_01/metrics.json
indy_20170131_02,indy,63,2066,0.6235851645469666,0.6908715963363647,0.7149002552032471,0.024028658866882324,0.01476529985666275,0.0341543972492218,1.0,True,gru_hidden_49,results/by_session/indy_20170131_02/metrics.json
loco_20170210_03,loco,57,2391,0.6392589807510376,0.646283745765686,0.6540423631668091,0.007758617401123047,0.00029965490102767944,0.016909310221672056,0.982,True,encoder_gru_49,results/by_session/loco_20170210_03/metrics.json
loco_20170215_02,loco,39,2312,0.560906171798706,0.5613224506378174,0.5672484636306763,0.005926012992858887,-0.0008928388357162475,0.015124019980430602,0.95,False,gru_hidden_49,results/by_session/loco_20170215_02/metrics.json
loco_20170301_05,loco,46,1870,0.7246606945991516,0.7374345064163208,0.7375819087028503,0.00014740228652954102,-0.003750923275947571,0.0036555320024490353,0.558,False,gru_hidden_49,results/by_session/loco_20170301_05/metrics.json
