variant,seed,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
baseline_cssd_lda,42,0.8322784810126582,0.8324520290029244,0.8321961385473965,0.3677144477257243,"[[128, 31], [22, 135]]"
baseline_cssd_lda,43,0.8417721518987342,0.841966109842567,0.8416706750040084,0.3761290443122076,"[[129, 30], [20, 137]]"
baseline_cssd_lda,44,0.8449367088607594,0.8451508232183632,0.8448108243547983,0.3676665626286729,"[[129, 30], [19, 138]]"
low_dimensional_riemannian_tslda,42,0.8449367088607594,0.8449905860673798,0.8449351559761654,0.35100118022392784,"[[133, 26], [23, 134]]"
low_dimensional_riemannian_tslda,43,0.8417721518987342,0.841685694828346,0.8417150871568824,0.37479229432987815,"[[136, 23], [27, 130]]"
low_dimensional_riemannian_tslda,44,0.8670886075949367,0.867283579697953,0.867003367003367,0.34235512954671726,"[[133, 26], [16, 141]]"
