variant,deployment_float_parameters,deployment_parameter_bytes_float32,deployment_parameter_kb_float32,estimated_runtime_ram_kb_float32,inference_matrix_eigendecompositions_per_update
baseline_cssd_lda,323,1311,1.2802734375,12.1875,0
low_dimensional_riemannian_tslda,479,1935,1.8896484375,14.015625,2
