seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,elapsed_seconds,bp_left_eigenvalue,bp_right_eigenvalue,bp_condition_number,erd_condition_number
42,1,252,64,0.53125,0.53125,0.53125,1.0608737807723425,0.07601466693449765,0.8185156268318509,0.21087567358965315,1244.918881900463,56.04692924759913
42,2,252,64,0.609375,0.609375,0.6069761729304839,0.8492695156448695,0.0627430829918012,0.8076428303232931,0.20590570880473524,1192.6377110884237,58.3959004828646
42,3,253,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.9779192784183726,0.062197667080909014,0.8151843838137074,0.19385663430743755,1382.8499205452351,56.7882159663322
42,4,253,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.7947568201294958,0.05523375002667308,0.7849267312212262,0.20940336034417936,1210.9798366252708,57.132306720702545
42,5,254,62,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.7227278047951391,0.05885758297517896,0.8270632416436352,0.1941947925530393,1370.1232760793396,56.48475337002169
43,1,252,64,0.609375,0.609375,0.6069761729304839,0.7168313923686045,0.05460950010456145,0.8139162954543095,0.20683483796004673,1119.5023281722647,55.899877441041085
43,2,252,64,0.53125,0.53125,0.5294117647058824,0.9133660623592295,0.0588704589754343,0.8036394601464958,0.213100218191757,1198.351580516463,57.684133873468774
43,3,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7360890289371502,0.05973212490789592,0.8007186020615494,0.2251217766509572,1389.217979892599,57.23065641802884
43,4,253,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.7173883147668617,0.062095209024846554,0.8188856316183053,0.1803268962756295,1389.49013266707,57.23580094753602
43,5,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.698327991125458,0.05968141707126051,0.8195375354844671,0.19946070399081403,1311.1600601887742,56.63873216471363
44,1,252,64,0.625,0.625,0.6156156156156156,0.7491685560547043,0.06172804208472371,0.8167616250013948,0.19416186523749673,1236.786484892075,54.78108319696116
44,2,252,64,0.640625,0.640625,0.6405372405372405,0.6829299476744884,0.05775500007439405,0.7946774833058277,0.18278823863977697,1270.8282796849746,57.42290440972534
44,3,253,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.8538930943042469,0.05492629099171609,0.8291506173279759,0.20814584138392178,1333.8174248318985,57.457354354470944
44,4,253,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.7432634741028505,0.060157750034704804,0.809667939847149,0.2113706212037772,1229.7920423806868,59.703080156608515
44,5,254,62,0.532258064516129,0.532258064516129,0.532136351808483,0.7989885369634815,0.060682583949528635,0.7794810763226429,0.18645468690249994,1258.4701535117351,55.892245885230885
