seed,fold_a,fold_b,branch,class_specific_side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
42,1,2,bp,left,0.7003604083662163,0.7003604083662163,45.54407322916369,45.54407322916369
42,1,2,bp,right,0.5186997877590491,0.5186997877590491,58.754923822345575,58.754923822345575
42,1,2,erd,left,0.8023378141845298,0.5476165193662852,33.29663005811489,56.79635059451892
42,1,2,erd,right,0.6541105623720508,0.32833766909688444,46.99814522406907,70.83209020629195
42,1,3,bp,left,0.6870927967417526,0.6870927967417526,46.5995831633641,46.5995831633641
42,1,3,bp,right,0.6901531627555938,0.6901531627555938,46.35776575047578,46.35776575047578
42,1,3,erd,left,0.8389755762036107,0.5875145080053381,28.154063363867248,54.01917218050206
42,1,3,erd,right,0.7294709297064483,0.35902913295599453,38.69771540404505,68.959416273224
42,1,4,bp,left,0.8230888158157521,0.8230888158157521,34.604797807076366,34.604797807076366
42,1,4,bp,right,0.7578965972973981,0.7578965972973981,40.72088419520648,40.72088419520648
42,1,4,erd,left,0.6122886390262244,0.19093834993536385,46.53506494644094,78.99244971476865
42,1,4,erd,right,0.5539351618964296,0.14048483119719393,52.85919212731687,81.92409769857822
42,1,5,bp,left,0.6008542278059926,0.6008542278059926,53.06889826536277,53.06889826536277
42,1,5,bp,right,0.1912322974555604,0.1912322974555604,78.97529159714259,78.97529159714259
42,1,5,erd,left,0.8050004000644236,0.654054556566193,32.96392368662752,49.151999753584604
42,1,5,erd,right,0.4453236670073331,0.013333668768909533,60.69851892256617,89.23601441522676
42,2,3,bp,left,0.687899966530379,0.687899966530379,46.535897941952655,46.535897941952655
42,2,3,bp,right,0.8334651035883749,0.8334651035883749,33.54364906082447,33.54364906082447
42,2,3,erd,left,0.6357786595050517,0.065230018770508,43.75446088786467,86.25993972409968
42,2,3,erd,right,0.7499874308452069,0.5232104867909524,38.074456576111196,58.452147954692755
42,2,4,bp,left,0.8004963399746386,0.8004963399746386,36.82247449639925,36.82247449639925
42,2,4,bp,right,0.5850192652414724,0.5850192652414724,54.19564897584092,54.19564897584092
42,2,4,erd,left,0.6991940207708259,0.3117994064223842,40.361017560635965,71.83229541477571
42,2,4,erd,right,0.4876023009790103,0.08051336078136641,58.249623048389196,85.3819256697993
42,2,5,bp,left,0.6828082406835548,0.6828082406835548,46.936519451038656,46.936519451038656
