seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
42,1,f1_bp_cssd,training,252,0.5873015873015873,0.5872125984251968,0.5871975806451613,0.6006299212598426
42,1,f1_bp_cssd,validation,64,0.578125,0.578125,0.5730170496664195,0.5830078125
42,1,f2_erd_cssd,training,252,0.753968253968254,0.7545196850393701,0.7529724260055655,0.8405039370078741
42,1,f2_erd_cssd,validation,64,0.4375,0.4375,0.43529411764705883,0.466796875
42,1,f3_bp_trend,training,252,0.753968253968254,0.7540787401574803,0.7539527559055118,0.8027086614173228
42,1,f3_bp_trend,validation,64,0.578125,0.578125,0.5696139476961395,0.6611328125
42,1,final_in_sample_fusion,training,252,0.8174603174603174,0.8176377952755906,0.817414314516129,0.9100472440944882
42,1,final_in_sample_fusion,validation,64,0.53125,0.53125,0.53125,0.5703125
42,2,f1_bp_cssd,training,252,0.5595238095238095,0.5593385826771653,0.5591836734693878,0.6150551181102362
42,2,f1_bp_cssd,validation,64,0.546875,0.546875,0.5458771715194519,0.54296875
42,2,f2_erd_cssd,training,252,0.7579365079365079,0.7580157480314961,0.7579326960930979,0.8368503937007874
42,2,f2_erd_cssd,validation,64,0.546875,0.546875,0.5458771715194519,0.5458984375
42,2,f3_bp_trend,training,252,0.7420634920634921,0.7421417322834646,0.7420594302631371,0.7940157480314961
42,2,f3_bp_trend,validation,64,0.671875,0.671875,0.6711524345485687,0.6884765625
42,2,final_in_sample_fusion,training,252,0.7976190476190477,0.7978267716535432,0.7975393437199705,0.8789921259842519
42,2,final_in_sample_fusion,validation,64,0.609375,0.609375,0.6069761729304839,0.6162109375
42,3,f1_bp_cssd,training,253,0.5928853754940712,0.5928321459817523,0.5927835857046864,0.6104236970378702
42,3,f1_bp_cssd,validation,63,0.5555555555555556,0.5554435483870968,0.5554435483870968,0.5403225806451613
42,3,f2_erd_cssd,training,253,0.7865612648221344,0.7865891763529558,0.7865579302587177,0.8512685914260718
42,3,f2_erd_cssd,validation,63,0.42857142857142855,0.42943548387096775,0.42727272727272725,0.40120967741935487
42,3,f3_bp_trend,training,253,0.7193675889328063,0.7194725659292589,0.7192096665780876,0.7975878015248093
42,3,f3_bp_trend,validation,63,0.5714285714285714,0.5725806451612903,0.5696939033645332,0.622983870967742
42,3,final_in_sample_fusion,training,253,0.8379446640316206,0.8380202474690663,0.8379041457659431,0.9109486314210724
42,3,final_in_sample_fusion,validation,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.5282258064516129
42,4,f1_bp_cssd,training,253,0.5731225296442688,0.5732408448943882,0.5727954971857412,0.5868016497937759
42,4,f1_bp_cssd,validation,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.5070564516129032
42,4,f2_erd_cssd,training,253,0.766798418972332,0.7667791526059242,0.7667838450121085,0.8460192475940508
42,4,f2_erd_cssd,validation,63,0.47619047619047616,0.47580645161290325,0.4756620428751577,0.501008064516129
42,4,f3_bp_trend,training,253,0.7114624505928854,0.7115048118985127,0.7114444184048121,0.7830896137982751
42,4,f3_bp_trend,validation,63,0.6031746031746031,0.6028225806451613,0.6027742749054225,0.65625
42,4,final_in_sample_fusion,training,253,0.8102766798418972,0.8102424696912887,0.81025,0.8878890138732658
42,4,final_in_sample_fusion,validation,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.621975806451613
42,5,f1_bp_cssd,training,254,0.5787401574803149,0.5783730158730158,0.5776337669199807,0.6402529761904763
42,5,f1_bp_cssd,validation,62,0.532258064516129,0.532258064516129,0.5311603650586701,0.5275754422476587
42,5,f2_erd_cssd,training,254,0.7322834645669292,0.732452876984127,0.7322170542635659,0.8060515873015873
42,5,f2_erd_cssd,validation,62,0.4838709677419355,0.4838709677419355,0.48171368861024033,0.5796045785639958
42,5,f3_bp_trend,training,254,0.7362204724409449,0.736297123015873,0.7362163837867163,0.7998511904761906
42,5,f3_bp_trend,validation,62,0.6612903225806451,0.6612903225806451,0.6612021857923497,0.6847034339229969
42,5,final_in_sample_fusion,training,254,0.7834645669291339,0.7836681547619048,0.7833806267541208,0.8699776785714286
42,5,final_in_sample_fusion,validation,62,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6670135275754423
43,1,f1_bp_cssd,training,252,0.6111111111111112,0.6111496062992126,0.6111111111111112,0.6176377952755906
43,1,f1_bp_cssd,validation,64,0.5625,0.5625,0.5555555555555556,0.5712890625
43,1,f2_erd_cssd,training,252,0.7777777777777778,0.7779527559055118,0.7777217741935484,0.8483779527559056
43,1,f2_erd_cssd,validation,64,0.5625,0.5625,0.5620723362658846,0.5810546875
43,1,f3_bp_trend,training,252,0.7142857142857143,0.7143937007874015,0.714267716535433,0.7859527559055118
43,1,f3_bp_trend,validation,64,0.65625,0.65625,0.65625,0.7119140625
43,1,final_in_sample_fusion,training,252,0.8095238095238095,0.8094488188976379,0.8094758064516129,0.8910866141732283
43,1,final_in_sample_fusion,validation,64,0.609375,0.609375,0.6069761729304839,0.662109375
43,2,f1_bp_cssd,training,252,0.5992063492063492,0.5994015748031496,0.5990485042297453,0.6214173228346456
43,2,f1_bp_cssd,validation,64,0.515625,0.515625,0.5145583557621727,0.521484375
43,2,f2_erd_cssd,training,252,0.7658730158730159,0.7660157480314961,0.7658398299078668,0.8462992125984252
43,2,f2_erd_cssd,validation,64,0.546875,0.546875,0.5458771715194519,0.5244140625
43,2,f3_bp_trend,training,252,0.7301587301587301,0.7303307086614172,0.7300907258064516,0.8248818897637795
43,2,f3_bp_trend,validation,64,0.546875,0.546875,0.5467643467643468,0.5576171875
43,2,final_in_sample_fusion,training,252,0.8214285714285714,0.8215748031496063,0.8214032600992204,0.9093543307086613
43,2,final_in_sample_fusion,validation,64,0.53125,0.53125,0.5294117647058824,0.59765625
43,3,f1_bp_cssd,training,253,0.5810276679841897,0.5809586301712286,0.5808639659914979,0.6053618297712785
43,3,f1_bp_cssd,validation,63,0.4603174603174603,0.46068548387096775,0.46018145161290325,0.4848790322580645
43,3,f2_erd_cssd,training,253,0.758893280632411,0.7590301212348456,0.7586519665337399,0.8428321459817523
43,3,f2_erd_cssd,validation,63,0.5873015873015873,0.5882056451612903,0.5863636363636364,0.5584677419354839
43,3,f3_bp_trend,training,253,0.7154150197628458,0.7154730658667666,0.715375,0.7727784026996625
43,3,f3_bp_trend,validation,63,0.6666666666666666,0.6668346774193548,0.6666666666666666,0.7368951612903226
43,3,final_in_sample_fusion,training,253,0.7984189723320159,0.7984626921634796,0.798406374501992,0.8870141232345956
43,3,final_in_sample_fusion,validation,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.6774193548387096
