seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
42,1,in_sample,f1,64,0.578125,0.578125,0.5730170496664195,0.6836937992064008
42,1,in_sample,f2,64,0.4375,0.4375,0.43529411764705883,1.0211306211891384
42,1,in_sample,f3,64,0.578125,0.578125,0.5696139476961395,0.739129247035941
42,1,in_sample,f1_f2,64,0.453125,0.453125,0.45192072424761437,1.018166590644023
42,1,in_sample,f1_f3,64,0.59375,0.59375,0.5873015873015872,0.7394454251877584
42,1,in_sample,f2_f3,64,0.546875,0.546875,0.5467643467643468,1.0600839745510497
42,1,in_sample,f1_f2_f3,64,0.53125,0.53125,0.53125,1.0608737807723425
42,1,inner_oof,f1,64,0.40625,0.40625,0.39682539682539686,0.6969714514654506
42,1,inner_oof,f2,64,0.4375,0.4375,0.43529411764705883,0.7363680274894076
42,1,inner_oof,f3,64,0.609375,0.609375,0.6046454163577959,0.6604623771546467
42,1,inner_oof,f1_f2,64,0.4375,0.4375,0.4325123152709359,0.7403642723800357
42,1,inner_oof,f1_f3,64,0.59375,0.59375,0.5901477832512315,0.6652497031725546
42,1,inner_oof,f2_f3,64,0.515625,0.515625,0.5155067155067155,0.7135545320324319
42,1,inner_oof,f1_f2_f3,64,0.53125,0.53125,0.53125,0.7187848478093122
42,2,in_sample,f1,64,0.546875,0.546875,0.5458771715194519,0.6964509459726533
42,2,in_sample,f2,64,0.546875,0.546875,0.5458771715194519,0.866811379997971
42,2,in_sample,f3,64,0.671875,0.671875,0.6711524345485687,0.7066727937281111
42,2,in_sample,f1_f2,64,0.546875,0.546875,0.5440923605993613,0.8692957451134729
42,2,in_sample,f1_f3,64,0.65625,0.65625,0.6559139784946236,0.7061439938613893
42,2,in_sample,f2_f3,64,0.59375,0.59375,0.592156862745098,0.8484986135175183
42,2,in_sample,f1_f2_f3,64,0.609375,0.609375,0.6069761729304839,0.8492695156448691
42,2,inner_oof,f1,64,0.546875,0.546875,0.5458771715194519,0.6907265736492159
42,2,inner_oof,f2,64,0.546875,0.546875,0.5458771715194519,0.6927056460536584
42,2,inner_oof,f3,64,0.65625,0.65625,0.6559139784946236,0.6683640009031349
42,2,inner_oof,f1_f2,64,0.546875,0.546875,0.5458771715194519,0.6924352630789208
42,2,inner_oof,f1_f3,64,0.640625,0.640625,0.6405372405372405,0.670003574677009
42,2,inner_oof,f2_f3,64,0.671875,0.671875,0.6698599852616065,0.6721411503625223
42,2,inner_oof,f1_f2_f3,64,0.625,0.625,0.624633431085044,0.6744452940988868
42,3,in_sample,f1,63,0.5555555555555556,0.5554435483870968,0.5554435483870968,0.6968707072148778
42,3,in_sample,f2,63,0.42857142857142855,0.42943548387096775,0.42727272727272725,0.9653144847168585
42,3,in_sample,f3,63,0.5714285714285714,0.5725806451612903,0.5696939033645332,0.7219664128364702
42,3,in_sample,f1_f2,63,0.4444444444444444,0.44556451612903225,0.44219580065772834,0.959178282825743
42,3,in_sample,f1_f3,63,0.5555555555555556,0.5564516129032258,0.5545454545454546,0.7191305155087518
42,3,in_sample,f2_f3,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.9270989582545491
