variant,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,best_seed_balanced_accuracy,fold_balanced_accuracy_sd,mean_accuracy,mean_macro_f1,mean_log_loss,float32_all_predictions_exact,float32_max_score_error,float32_max_probability_error,seed_ba_deltas_vs_baseline,seeds_improved_vs_baseline,all_three_seeds_improved,deployment_float_parameters,deployment_parameter_bytes_float32,deployment_parameter_kb_float32,estimated_runtime_ram_bytes_float32,estimated_runtime_ram_kb_float32
baseline_cssd_lda,0.8398563206879515,0.005394642486715603,0.8324520290029244,0.8451508232183632,0.039123496283813064,0.839662447257384,0.8395592126354009,0.370503351555535,True,0.00023547723078998217,4.020664678822117e-05,"[0.0, 0.0, 0.0]",0,False,323,1311,1.2802734375,12480,12.1875
regularized_cssd,0.8409579511009628,0.005957965253174609,0.8325321475784161,0.8451908825061091,0.04239701992512709,0.8407172995780591,0.840544802282802,0.36050343412807867,True,0.00019234320798666715,3.536593634212437e-05,"[8.011857549172774e-05, 0.0032247726635420415, 0.0]",2,False,323,1311,1.2802734375,12480,12.1875
shrinkage_lda,0.8365781356407483,0.005357995253135406,0.8292272563393823,0.8418459319793294,0.04961816932238479,0.8364978902953587,0.8364861101781488,0.3679996796408178,True,5.5330837374523156e-05,9.968974003460307e-06,"[0.009393902976405077, -0.0033048912390337692, -0.015923566878980888]",1,False,323,1311,1.2802734375,12480,12.1875
regularized_cssd_shrinkage_lda,0.8354898583236524,0.004484980718978889,0.8291471377638906,0.8386612186035333,0.047513844844748784,0.8354430379746836,0.8354419604629243,0.35754894521294434,True,5.516757407675321e-05,7.662925216533889e-06,"[0.0062091896006089, -0.0033048912390337692, -0.016003685454472616]",1,False,323,1311,1.2802734375,12480,12.1875
toeplitz_lda,0.8450172922592104,0.008970021071852212,0.8323318511396868,0.851400072106718,0.04194033005496819,0.8449367088607594,0.844923236979724,0.3693215433607601,True,7.176316696066998e-05,1.0644282301131014e-05,"[0.018867924528301883, 0.009433962264150941, -0.012818972078676438]",2,False,323,1311,1.2802734375,12480,12.1875
baseline_toeplitz_nested_fusion,0.8408644794295558,0.009814375614903332,0.8324119697151785,0.85462484477026,0.04569442775154053,0.8407172995780591,0.840663389106988,0.3722061781260258,True,8.412683137226651e-05,1.404581623620782e-05,"[-4.005928774586387e-05, 0.012658734927692983, -0.009594199415134397]",1,False,505,2039,1.9912109375,12480,12.1875
