subset,groups,feature_count,seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max
none,none,0,3,0.5031645569620253,0.0,0.5031645569620253,0.5031645569620253,0.5,0.0,0.5,0.5,0.33473684210526317,0.0,0.33473684210526317,0.33473684210526317
A,A,140,3,0.649789029535865,0.026914242240871442,0.6234177215189873,0.6772151898734177,0.6497482941419968,0.026923986566365684,0.6233425469695149,0.677162200056083,0.6497391791895609,0.0269341872809067,0.62332341657401,0.6771634615384615
B,B,84,3,0.6424050632911392,0.008372630731217103,0.6360759493670886,0.6518987341772152,0.6424241210324614,0.008410836772778256,0.6360814004726996,0.6519649080639346,0.642394382963738,0.00836883482482584,0.6360723048420209,0.6518847894884429
C,C,28,3,0.619198312236287,0.02871446748695399,0.5886075949367089,0.6455696202531646,0.6192164403316909,0.02868331022480041,0.5886311741377238,0.6455153627368505,0.6191680642095377,0.028685891154855817,0.5886075949367089,0.6455128205128204
AB,A+B,224,3,0.6592827004219409,0.020589895881796556,0.6392405063291139,0.680379746835443,0.6592757280775547,0.020539430513749304,0.6392661138484957,0.6803068541441333,0.6592560203114571,0.02054890102464192,0.6392405063291139,0.6802997065039917
AC,A+C,168,3,0.6824894514767933,0.010172627385013656,0.6708860759493671,0.689873417721519,0.682523468066071,0.010189879955646665,0.6709129511677282,0.6899811721347594,0.6824634717495838,0.010148735595744307,0.6708860759493671,0.6898237179487179
BC,B+C,112,3,0.6729957805907173,0.013175101262443886,0.6582278481012658,0.6835443037974683,0.6730093872264283,0.013217521369863797,0.6582141569522894,0.6836518046709129,0.6729570694114467,0.013154190648121436,0.6582141569522894,0.6834935897435896
ABC,A+B+C,252,3,0.6888185654008439,0.009135289069456088,0.6835443037974683,0.6993670886075949,0.6888528355299176,0.009216603864602244,0.6835316268076753,0.6994952529744021,0.6887850189208898,0.009099142052169175,0.6835316268076753,0.6992918031473189
