c,outer_contexts,inner_oof_balanced_accuracy_mean,inner_oof_balanced_accuracy_std,inner_oof_balanced_accuracy_min,inner_oof_balanced_accuracy_max,selected_count
0.001,15,0.549350392398867,0.02410125153420368,0.5120944881889764,0.5831473214285714,0
0.003,15,0.5540269182498022,0.027458672652502947,0.5081574803149607,0.6026785714285714,0
0.01,15,0.5642634681081533,0.030188039375756943,0.5042834645669292,0.6184895833333333,2
0.03,15,0.5739370240178311,0.023953769574855573,0.5239055118110236,0.6032125984251968,2
0.1,15,0.583400985553889,0.020890697320219666,0.5337457817772778,0.6063988095238095,0
0.3,15,0.591008267195767,0.011701319302914546,0.5714645669291338,0.6108346456692912,4
1.0,15,0.5947121716556263,0.023026289317625296,0.5535558055243095,0.6268346456692913,3
3.0,15,0.5976141922363871,0.02699358639326923,0.5613985751781028,0.6363267091613548,2
10.0,15,0.5957247752885056,0.026822998899213222,0.5613673290838646,0.6506456692913386,2
