session,subject,selected_fold,selection_test_r2_mean,absent_r2,ready_gru_r2,ready_minus_absent_r2,ci95_low,ci95_high,individual_ci_excludes_zero,bank_entries
indy_20160622_01,indy,5,0.8215529918670654,0.731103777885437,0.8115454316139221,0.08044165372848511,0.06053844839334488,0.10191103667020796,True,33131
indy_20160630_01,indy,4,0.7003597617149353,0.5377227067947388,0.7016475200653076,0.16392481327056885,0.12972360700368882,0.18983981311321257,True,26642
indy_20170131_02,indy,4,0.7997716665267944,0.5659592747688293,0.783771276473999,0.21781200170516968,0.1801137700676918,0.2608519852161407,True,14427
loco_20170210_03,loco,5,0.7066704034805298,0.6421204209327698,0.698156476020813,0.05603605508804321,0.03054891526699066,0.08029631823301316,True,19724
loco_20170215_02,loco,4,0.6980593800544739,0.5133064985275269,0.6751213669776917,0.1618148684501648,0.0961155891418457,0.2321976013481617,True,16032
loco_20170301_05,loco,1,0.7500005960464478,0.7443664073944092,0.7671934366226196,0.02282702922821045,0.003427459299564362,0.040769821405410765,True,15251
