branch,class_specific_side,comparisons,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
bp,left,30,0.6932747360614603,0.322968595961394,44.77362879636603,71.15745167511555
bp,right,30,0.48008571625066515,0.033082313681271396,59.830543296439764,88.10417713167685
erd,left,30,0.7578055600187686,0.005768384924808197,34.81271514505392,89.66949405629396
erd,right,30,0.6114912694464116,0.006232827355440012,48.7384734056739,89.64288298585238
