variant,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,fit_and_inference_seconds,float32_predictions_exact,float32_max_score_error,float32_max_probability_error,cssd_oas_bp_left,cssd_oas_bp_right,cssd_oas_erd_left,cssd_oas_erd_right
regularized_cssd_shrinkage_lda,43,1,252,64,0.90625,0.90625,0.906158357771261,0.28674839711369277,0.013571874937042594,True,3.921598729395015e-05,2.675447493744043e-06,0.006297798194790196,0.0078041422966816714,0.000894351603734387,0.0009316321907138299
toeplitz_lda,43,1,252,64,0.859375,0.859375,0.8590653290922436,0.32290414720676464,0.016573875211179256,True,6.893518376505092e-05,7.72412161964553e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,2,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045455,0.009848291054368019,True,0.00014266868715662184,2.9734659794444784e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,2,252,64,0.796875,0.796875,0.7956276099238517,0.484284927953207,0.011049957945942879,True,0.00012977097595801013,2.1569577833391307e-05,0.006639336290711123,0.007279902185440191,0.0008994980363782831,0.000905492720257463
shrinkage_lda,43,2,252,64,0.796875,0.796875,0.7968253968253969,0.4660241992274452,0.01275866711512208,True,3.6131386665250176e-05,5.4302108011272665e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,2,252,64,0.765625,0.765625,0.7655677655677655,0.46461979197271097,0.012731125112622976,True,4.0628267504505544e-05,5.547062709276851e-06,0.006639336290711123,0.007279902185440191,0.0008994980363782831,0.000905492720257463
toeplitz_lda,43,2,252,64,0.8125,0.8125,0.8123167155425219,0.482662854178038,0.01721824984997511,True,4.958993034787085e-05,1.0644282301131014e-05,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,3,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.39226225006980775,0.009700833819806576,True,0.00018629443311346527,4.020664678822117e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,3,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3525069162524143,0.011581124970689416,True,0.00011108428582917718,2.010002872157579e-05,0.006099593700885712,0.0072983108084151115,0.0009064408755316062,0.0009188162435502426
shrinkage_lda,43,3,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38622996811743093,0.012609749799594283,True,2.70379135532961e-05,5.943344584702359e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,3,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3410767710268213,0.012861166847869754,True,3.173020908953106e-05,6.834022269419648e-06,0.006099593700885712,0.0072983108084151115,0.0009064408755316062,0.0009188162435502426
toeplitz_lda,43,3,253,63,0.8571428571428571,0.8563508064516129,0.8565646344548443,0.40179541152111803,0.01728479191660881,True,2.8290809165110176e-05,6.927226526731722e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,4,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697381,0.009003083920106292,True,0.0001412144920770464,3.518403119395774e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,4,253,63,0.9047619047619048,0.9057459677419355,0.9045454545454545,0.26078734205198456,0.011474583065137267,True,8.422850192513209e-05,1.9075243539834474e-05,0.006164397117027908,0.0073233660722099025,0.0008803900203826993,0.0009116858737544991
shrinkage_lda,43,4,253,63,0.8888888888888888,0.8891129032258065,0.8888888888888888,0.29747304277789727,0.013042042031884193,True,2.3844805787209822e-05,5.880644853073491e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,4,253,63,0.873015873015873,0.8724798387096775,0.8727272727272728,0.28122077907667564,0.013356167124584317,True,2.485332241963789e-05,4.585116498145858e-06,0.006164397117027908,0.0073233660722099025,0.0008803900203826993,0.0009116858737544991
toeplitz_lda,43,4,253,63,0.8888888888888888,0.889616935483871,0.8887767969735183,0.26595040504987705,0.017420749878510833,True,3.26613939761744e-05,8.141883533707706e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,5,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3632261549038589,0.010177500080317259,True,0.00010688694563487644,1.4194515883581005e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,5,254,62,0.8387096774193549,0.8387096774193548,0.8380355276907001,0.3596728542472866,0.011142749805003405,True,0.00010826962782406468,1.4910232281728497e-05,0.006443877093559617,0.00748439769953185,0.0008911780865664188,0.0009167247985741219
shrinkage_lda,43,5,254,62,0.8225806451612904,0.8225806451612903,0.8214192196910186,0.4313587033828646,0.012268666876479983,True,2.8478939018694582e-05,7.034960277985114e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,5,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.42962644434673103,0.014411708805710077,True,3.322637479152846e-05,6.0008818920653795e-06,0.006443877093559617,0.00748439769953185,0.0008911780865664188,0.0009167247985741219
toeplitz_lda,43,5,254,62,0.8387096774193549,0.8387096774193548,0.8385416666666667,0.38197831692308454,0.0174560840241611,True,4.4023415393779075e-05,1.0542479482233968e-05,0.0,0.0,0.0,0.0
baseline_cssd_lda,44,1,252,64,0.828125,0.828125,0.8277465133349645,0.30683242750203693,0.009064291836693883,True,0.00023547723078998217,1.7730933687065686e-05,0.0,0.0,0.0,0.0
regularized_cssd,44,1,252,64,0.859375,0.859375,0.8590653290922436,0.2950168729883713,0.010627750074490905,True,0.000179697421804903,1.4257430412001337e-05,0.006467483803541319,0.007337965413489007,0.0008999456093072275,0.0009440087086709509
shrinkage_lda,44,1,252,64,0.875,0.875,0.8748778103616813,0.30323919518091424,0.012479082914069295,True,4.004790100964328e-05,7.53934313513227e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,44,1,252,64,0.875,0.875,0.8748778103616813,0.29651200298640906,0.013828583061695099,True,3.412491576959553e-05,5.938903876678836e-06,0.006467483803541319,0.007337965413489007,0.0008999456093072275,0.0009440087086709509
toeplitz_lda,44,1,252,64,0.875,0.875,0.8748778103616813,0.2991270441914628,0.016517791897058487,True,4.771805574832477e-05,9.066851330286063e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,44,2,252,64,0.859375,0.859375,0.8585114222549741,0.40709676984336074,0.00992995803244412,True,0.00010541173512779167,2.5753802249450786e-05,0.0,0.0,0.0,0.0
regularized_cssd,44,2,252,64,0.8125,0.8125,0.8117647058823529,0.43535054226334735,0.010849667014554143,True,0.00014420711592666446,3.536593634212437e-05,0.006453300819356753,0.007226916668870456,0.0009052740076302408,0.000905549691007349
shrinkage_lda,44,2,252,64,0.828125,0.828125,0.8277465133349645,0.3756741153496026,0.013285249937325716,True,5.5330837374523156e-05,5.630614900664632e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,44,2,252,64,0.859375,0.859375,0.8590653290922436,0.34956667539861386,0.0144292910117656,True,5.516757407675321e-05,6.3011040667415585e-06,0.006453300819356753,0.007226916668870456,0.0009052740076302408,0.000905549691007349
toeplitz_lda,44,2,252,64,0.796875,0.796875,0.7968253968253969,0.383843064768796,0.023833459010347724,True,7.176316696066998e-05,9.497662134649865e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,44,3,253,63,0.8571428571428571,0.858366935483871,0.8565646344548443,0.36505045594541674,0.0097250419203192,True,0.00013465605960849558,1.601337757395349e-05,0.0,0.0,0.0,0.0
regularized_cssd,44,3,253,63,0.8412698412698413,0.842741935483871,0.84026369168357,0.3671849821885154,0.010520207928493619,True,0.00012578463259060868,2.4247727619663983e-05,0.006296621457865932,0.007612372813956891,0.0008970253804489351,0.0009122492121476714
shrinkage_lda,44,3,253,63,0.8888888888888888,0.8891129032258065,0.8888888888888888,0.37001438288888094,0.0129292500205338,True,3.131251327537221e-05,7.327169602944217e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,44,3,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.38814608197190925,0.014198542106896639,True,3.399883159804773e-05,6.882601602975491e-06,0.006296621457865932,0.007612372813956891,0.0008970253804489351,0.0009122492121476714
toeplitz_lda,44,3,253,63,0.8888888888888888,0.888608870967742,0.8887767969735183,0.42069288381581577,0.016756832832470536,True,3.6206606161659494e-05,5.778767337705215e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,44,4,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.4791364253366135,0.008984166895970702,True,9.230473110677373e-05,2.2897761306761577e-05,0.0,0.0,0.0,0.0
regularized_cssd,44,4,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.4590936461393027,0.01235404098406434,True,9.248029319852691e-05,2.21456852762536e-05,0.006259333561285169,0.007480325718470416,0.0008850329880668606,0.0009074677336620012
shrinkage_lda,44,4,253,63,0.7142857142857143,0.7137096774193548,0.7136363636363636,0.43331282563048373,0.013610125053673983,True,2.9038896487421084e-05,5.16430241981336e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,44,4,253,63,0.746031746031746,0.7439516129032258,0.7407407407407407,0.418757112474041,0.014688415918499231,True,3.791424813437416e-05,7.193845600994564e-06,0.006259333561285169,0.007480325718470416,0.0008850329880668606,0.0009074677336620012
toeplitz_lda,44,4,253,63,0.7301587301587301,0.7298387096774194,0.7298865069356872,0.4539638334329233,0.018040584167465568,True,4.284114447195009e-05,8.36214686794623e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,44,5,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.27915147806108537,0.010224750032648444,True,0.00011165927817735621,1.3089995669152144e-05,0.0,0.0,0.0,0.0
regularized_cssd,44,5,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.26620580998409754,0.010947749949991703,True,0.00011343023744281311,1.053497243030943e-05,0.0061520636383898125,0.007515437469566008,0.0008847691499745367,0.0009150237481936725
shrinkage_lda,44,5,254,62,0.8387096774193549,0.8387096774193548,0.8371848739495797,0.35831063691039233,0.012078374857082963,True,3.282462690279431e-05,3.520007250457091e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,44,5,254,62,0.8387096774193549,0.8387096774193548,0.8371848739495797,0.34124479353590714,0.014388374984264374,True,2.9119046954129146e-05,2.8809653472849917e-06,0.0061520636383898125,0.007515437469566008,0.0008847691499745367,0.0009150237481936725
toeplitz_lda,44,5,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.33016205068666593,0.01734370901249349,True,3.127937466285147e-05,4.8220157493061855e-06,0.0,0.0,0.0,0.0
baseline_toeplitz_nested_fusion,42,1,252,64,0.8125,0.8125,0.8125,0.4044812258009194,,True,3.591435250266395e-05,8.851921506014548e-06,,,,
baseline_toeplitz_nested_fusion,42,2,252,64,0.765625,0.765625,0.7655677655677655,0.41693591812253916,,True,7.20521108461547e-05,1.3295031714322114e-05,,,,
baseline_toeplitz_nested_fusion,42,3,253,63,0.8571428571428571,0.857358870967742,0.8571428571428571,0.35718405592305436,,True,5.609727386790553e-05,8.46352855732313e-06,,,,
baseline_toeplitz_nested_fusion,42,4,253,63,0.9047619047619048,0.9047379032258065,0.9047379032258065,0.3000316301485445,,True,2.6408166485691886e-05,5.8183944953160704e-06,,,,
baseline_toeplitz_nested_fusion,42,5,254,62,0.8225806451612904,0.8225806451612903,0.8214192196910186,0.3882239509872331,,True,8.412683137226651e-05,9.897521138335641e-06,,,,
baseline_toeplitz_nested_fusion,43,1,252,64,0.84375,0.84375,0.8435972629521017,0.3284784497409431,,True,6.690783980878301e-05,1.1344687044223534e-05,,,,
baseline_toeplitz_nested_fusion,43,2,252,64,0.828125,0.828125,0.8270695160894129,0.4441388289508093,,True,5.9263781795770853e-05,1.404581623620782e-05,,,,
baseline_toeplitz_nested_fusion,43,3,253,63,0.8412698412698413,0.8402217741935484,0.84026369168357,0.39360132187572466,,True,4.177730539356439e-05,1.0020054876935802e-05,,,,
baseline_toeplitz_nested_fusion,43,4,253,63,0.9047619047619048,0.9057459677419355,0.9045454545454545,0.305412690675795,,True,3.6952933323952664e-05,9.024653095157653e-06,,,,
baseline_toeplitz_nested_fusion,43,5,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.36531637564350217,,True,4.364036615345235e-05,9.440261510507142e-06,,,,
baseline_toeplitz_nested_fusion,44,1,252,64,0.875,0.875,0.8748778103616813,0.3153218104787935,,True,7.582260734384505e-05,1.2104805129087293e-05,,,,
baseline_toeplitz_nested_fusion,44,2,252,64,0.828125,0.828125,0.8277465133349645,0.39685263963199435,,True,5.296000052038008e-05,1.3157760980098132e-05,,,,
baseline_toeplitz_nested_fusion,44,3,253,63,0.873015873015873,0.872983870967742,0.872983870967742,0.38264359759466526,,True,4.4709215844651595e-05,7.124254614909731e-06,,,,
baseline_toeplitz_nested_fusion,44,4,253,63,0.7301587301587301,0.7298387096774194,0.7298865069356872,0.43601994193713556,,True,3.383181642879762e-05,8.194193643062953e-06,,,,
baseline_toeplitz_nested_fusion,44,5,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.347037334744243,,True,1.8667050489140635e-05,4.368445336522253e-06,,,,
