variant,seed,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
baseline_cssd_lda,42,0.8322784810126582,0.8324520290029244,0.8321961385473965,0.3677144477257243,"[[128, 31], [22, 135]]"
baseline_cssd_lda,43,0.8417721518987342,0.841966109842567,0.8416706750040084,0.3761290443122076,"[[129, 30], [20, 137]]"
baseline_cssd_lda,44,0.8449367088607594,0.8451508232183632,0.8448108243547983,0.3676665626286729,"[[129, 30], [19, 138]]"
regularized_cssd,42,0.8322784810126582,0.8325321475784161,0.8320749987466787,0.36076353819974216,"[[126, 33], [20, 137]]"
regularized_cssd,43,0.8449367088607594,0.8451908825061091,0.8447485837469293,0.3558612313370995,"[[128, 31], [18, 139]]"
regularized_cssd,44,0.8449367088607594,0.8451508232183632,0.8448108243547983,0.3648855328473943,"[[129, 30], [19, 138]]"
shrinkage_lda,42,0.8417721518987342,0.8418459319793294,0.8417658134038377,0.3590939035014339,"[[132, 27], [23, 134]]"
shrinkage_lda,43,0.8386075949367089,0.8386612186035333,0.8386059786690702,0.3769452446010278,"[[132, 27], [24, 133]]"
shrinkage_lda,44,0.8291139240506329,0.8292272563393823,0.8290865384615385,0.3679598908199917,"[[129, 30], [24, 133]]"
regularized_cssd_shrinkage_lda,42,0.8386075949367089,0.8386612186035333,0.8386059786690702,0.3534371420517759,"[[132, 27], [24, 133]]"
regularized_cssd_shrinkage_lda,43,0.8386075949367089,0.8386612186035333,0.8386059786690702,0.3605352826188211,"[[132, 27], [24, 133]]"
regularized_cssd_shrinkage_lda,44,0.8291139240506329,0.8291471377638906,0.8291139240506329,0.35867441096823605,"[[131, 28], [26, 131]]"
toeplitz_lda,42,0.8512658227848101,0.8513199535312262,0.8512643332832608,0.3592607139919901,"[[134, 25], [22, 135]]"
toeplitz_lda,43,0.8512658227848101,0.851400072106718,0.8512285762939367,0.371224462600732,"[[132, 27], [20, 137]]"
toeplitz_lda,44,0.8322784810126582,0.8323318511396868,0.8322768013619749,0.37747945348955825,"[[131, 28], [25, 132]]"
baseline_toeplitz_nested_fusion,42,0.8322784810126582,0.8324119697151785,0.8322364796506095,0.3735606658063941,"[[129, 30], [23, 134]]"
baseline_toeplitz_nested_fusion,43,0.8544303797468354,0.85462484477026,0.8543370210036877,0.36751583518011083,"[[131, 28], [18, 139]]"
baseline_toeplitz_nested_fusion,44,0.8354430379746836,0.8355566238032288,0.8354166666666667,0.3755420333915726,"[[130, 29], [23, 134]]"
