variant,family,mean_accuracy,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,mean_macro_f1,mean_ba_delta_vs_baseline,improved_seed_count,tied_seed_count
baseline,reference,0.5981012658227848,0.5981319018814512,0.018665058540193687,0.5790369747225894,0.5980307989341805,0.0,0,3
covariance_ridge_1e3,covariance,0.5949367088607596,0.5949738946974855,0.021172614733106183,0.5727476665464888,0.5949006395787717,-0.003158007183965602,0,1
covariance_ledoit_wolf,covariance,0.6086497890295358,0.6087075538463592,0.020919856896479967,0.5853663421864359,0.6085069246441445,0.010575651964908062,3,0
covariance_oas,covariance,0.6044303797468354,0.6045013286330435,0.023288383084061094,0.575932379922285,0.6043550809461732,0.006369426751592355,2,0
trial_trace_normalized,trial_normalization,0.6054852320675105,0.6054961342787325,0.018734610091726764,0.5790770340103353,0.6053287414872364,0.007364232397281308,2,0
f2_components_2,f2_reduction,0.6139240506329114,0.6140154094726863,0.018157777760153485,0.5981051956896206,0.6138337013120658,0.015883507591235024,3,0
f2_components_1,f2_reduction,0.6339662447257384,0.6340784360854065,0.010411909036233031,0.6203981893201939,0.6338854818457808,0.03594653420395518,3,0
fusion_hard_vote,voting,0.5875527426160337,0.5877164870675265,0.026043720259237593,0.5539198013059328,0.5873450707549064,-0.010415414813924606,1,0
fusion_soft_vote,voting,0.5981012658227849,0.5983188452242653,0.012936796744310404,0.582381925249369,0.5975464661712159,0.00018694334281403138,2,0
