policy,config_label,learning_rate,weight_decay,dropout,seeds,validation_loss_mean,validation_loss_std,validation_pooled_r2_mean,validation_pooled_r2_std,validation_macro_r2_mean,validation_macro_r2_std,validation_worst_r2_mean,validation_worst_r2_min,selected_epoch_mean
baseline,lr3e-04_wd0.060_do0.100,0.0003,0.06,0.1,"[43, 42, 44]",0.3856970965862274,0.010150984146790165,0.6376660267512003,0.008789999402792265,0.6424573262532552,0.0074400565406375066,0.5377190113067627,0.4807664752006531,18.0
detector_filtered,lr3e-04_wd0.060_do0.100,0.0003,0.06,0.1,"[43, 42, 44]",0.37967053055763245,0.00826252423492948,0.6466241280237833,0.006284958820598684,0.6514522731304169,0.0062535671011701025,0.5692580342292786,0.5559203028678894,16.333333333333332
baseline,lr9e-04_wd0.025_do0.100,0.0009,0.025,0.1,"[43, 42, 44]",0.36331923802693683,0.00828745095525752,0.6574991544087728,0.008046649738758564,0.6626560240983963,0.007636715158727266,0.5525545477867126,0.5185760259628296,6.666666666666667
detector_filtered,lr9e-04_wd0.025_do0.100,0.0009,0.025,0.1,"[43, 42, 44]",0.36995940407117206,0.005762263143811024,0.6552371184031168,0.003442739353764062,0.6594720979531606,0.003916687564781927,0.5766017635663351,0.5566113591194153,6.333333333333333
