stage,policy,seed,config_label,epoch,learning_rate_schedule,optimization_loss,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,validation_loss,validation_r2
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,1,0.0003,0.519816406237199,1.0198593829359328,2.3313705921173096,0.46455737948417664,0.5589134097099304
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,2,0.00029917828430524096,0.32086556897334073,0.9763337922096252,2.5684895515441895,0.4505153298377991,0.568905234336853
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,3,0.0002967221401100708,0.2833725726297771,0.9875529370989118,1.7960751056671143,0.4320107698440552,0.5878885984420776
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,4,0.00029265847744427303,0.2543744749857542,0.9930147392409189,1.972866177558899,0.42607706785202026,0.6004806756973267
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,5,0.0002870318186463901,0.24067880023779217,0.9855521358762469,2.667764663696289,0.4345215857028961,0.5925267934799194
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,6,0.0002799038105676658,0.22472853091739167,0.9716110902173178,1.7636935710906982,0.4136625826358795,0.6079987287521362
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,7,0.0002713525491562421,0.21435247352459286,0.9421076932975224,2.349842071533203,0.41540002822875977,0.6114073991775513
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,8,0.00026147172382160914,0.20587497068064858,0.9769651133673531,2.5719833374023438,0.41631752252578735,0.6097140312194824
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,9,0.00025036959095382875,0.19916526717227578,0.9762804055213928,1.8483607769012451,0.40521547198295593,0.6181955337524414
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,10,0.000238167787843871,0.1924612385101233,0.9491070491927011,1.8529590368270874,0.4049949049949646,0.6193225383758545
paired_seed_confirmation,baseline,42,lr3e-04_wd0.060_do0.100,11,0.00022500000000000002,0.18344443933809096,0.8966195673601968,1.634802222251892,0.4130233824253082,0.6078934073448181
