variant,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,best_seed_balanced_accuracy,fold_balanced_accuracy_sd,mean_accuracy,mean_macro_f1,mean_log_loss,float32_all_predictions_exact,float32_max_score_error,float32_max_probability_error,deployment_float_parameters,deployment_parameter_bytes_float32,deployment_parameter_kb_float32,estimated_runtime_ram_kb_float32,inference_matrix_eigendecompositions_per_update
baseline_cssd_lda,0.8398563206879515,0.005394642486715603,0.8324520290029244,0.8451508232183632,0.039123496283813064,0.839662447257384,0.8395592126354009,0.370503351555535,True,0.00023547723078998217,4.020664678822117e-05,323,1311,1.2802734375,12.1875,0
low_dimensional_riemannian_tslda,0.8513199535312262,0.011368336050003473,0.841685694828346,0.867283579697953,0.04794420497634693,0.8512658227848101,0.8512178700454717,0.3560495347001744,True,0.00027904143687407235,6.607786320672604e-05,479,1935,1.8896484375,14.015625,2
