accuracy,balanced_accuracy,macro_f1,confusion_matrix,model,seed,fold,training_cases,validation_cases,parameters,final_train_loss,final_train_accuracy,final_validation_loss
0.546875,0.546875,0.5458771715194519,"[[16, 16], [13, 19]]",feature_linear,42,1,252,64,394,0.5695151979961093,0.7063492063492064,0.7213411927223206
0.65625,0.65625,0.6532019704433498,"[[24, 8], [14, 18]]",feature_linear,42,2,252,64,394,0.587479485405816,0.6944444444444444,0.6089875102043152
0.6190476190476191,0.6219758064516129,0.6070686070686071,"[[14, 18], [6, 25]]",feature_linear,42,3,253,63,394,0.5761499668769685,0.691699604743083,0.6703255971272787
0.5238095238095238,0.5241935483870968,0.5236895161290323,"[[16, 16], [14, 17]]",feature_linear,42,4,253,63,394,0.5771900071456969,0.6996047430830039,0.7101983267163473
0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[16, 15], [13, 18]]",feature_linear,42,5,254,62,394,0.5872716903686523,0.6811023622047244,0.7065083596014208
0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]",feature_linear,43,1,252,64,394,0.5746735693916442,0.6944444444444444,0.6521924436092377
0.640625,0.640625,0.6398336187912894,"[[19, 13], [10, 22]]",feature_linear,43,2,252,64,394,0.5857230368114653,0.6666666666666666,0.6625383496284485
0.6349206349206349,0.6355846774193548,0.6345523329129886,"[[19, 13], [10, 21]]",feature_linear,43,3,253,63,394,0.5934832124370831,0.6837944664031621,0.6414716205899678
0.5555555555555556,0.5579637096774194,0.5462962962962963,"[[13, 19], [9, 22]]",feature_linear,43,4,253,63,394,0.5790471012884449,0.6798418972332015,0.6960193694583954
0.5806451612903226,0.5806451612903225,0.5766806722689075,"[[15, 16], [10, 21]]",feature_linear,43,5,254,62,394,0.5629067683783103,0.7047244094488189,0.6873811291110131
0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]",feature_linear,44,1,252,64,394,0.5965422827099996,0.6626984126984127,0.632472574710846
0.5625,0.5625,0.5625,"[[18, 14], [14, 18]]",feature_linear,44,2,252,64,394,0.5692660392276825,0.6984126984126984,0.7329773008823395
0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]",feature_linear,44,3,253,63,394,0.5622889326495144,0.6877470355731226,0.7056333451043992
0.5555555555555556,0.5559475806451613,0.5554435483870968,"[[17, 15], [13, 18]]",feature_linear,44,4,253,63,394,0.5765841751701747,0.7035573122529645,0.6806463514055524
0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[18, 13], [15, 16]]",feature_linear,44,5,254,62,394,0.5678954049358218,0.6850393700787402,0.7410771769862021
0.609375,0.609375,0.6092796092796093,"[[19, 13], [12, 20]]",tiny_mlp,42,1,252,64,9554,0.6422095374455528,0.6428571428571429,0.6722972989082336
0.703125,0.703125,0.7013018914271678,"[[25, 7], [12, 20]]",tiny_mlp,42,2,252,64,9554,0.6374620028904506,0.6587301587301587,0.6461154520511627
0.5238095238095238,0.5231854838709677,0.5227272727272728,"[[18, 14], [16, 15]]",tiny_mlp,42,3,253,63,9554,0.6171145457995267,0.6877470355731226,0.7153433542402964
0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]",tiny_mlp,42,4,253,63,9554,0.625145599304923,0.6679841897233202,0.7237502809554811
0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]",tiny_mlp,42,5,254,62,9554,0.6345897284079725,0.6614173228346457,0.6770624652985604
0.609375,0.609375,0.6046454163577959,"[[16, 16], [9, 23]]",tiny_mlp,43,1,252,64,9554,0.6374546459742955,0.6626984126984127,0.654558926820755
0.546875,0.546875,0.537733499377335,"[[22, 10], [19, 13]]",tiny_mlp,43,2,252,64,9554,0.6106092664930556,0.6865079365079365,0.7231096625328064
0.5396825396825397,0.5388104838709677,0.5378193776878321,"[[19, 13], [16, 15]]",tiny_mlp,43,3,253,63,9554,0.6306173528136001,0.6600790513833992,0.6814220670669798
0.5555555555555556,0.5544354838709677,0.552738336713996,"[[20, 12], [16, 15]]",tiny_mlp,43,4,253,63,9554,0.6298572329193236,0.6640316205533597,0.6939505319746714
0.6129032258064516,0.6129032258064515,0.6112852664576802,"[[17, 14], [10, 21]]",tiny_mlp,43,5,254,62,9554,0.6195717083187554,0.65748031496063,0.6723586666968561
0.546875,0.546875,0.5413886829750433,"[[14, 18], [11, 21]]",tiny_mlp,44,1,252,64,9554,0.6193930535089403,0.6706349206349206,0.6642938554286957
0.6875,0.6875,0.6871945259042034,"[[23, 9], [11, 21]]",tiny_mlp,44,2,252,64,9554,0.646241513509599,0.6587301587301587,0.6371534168720245
0.49206349206349204,0.4904233870967742,0.48571428571428565,"[[19, 13], [19, 12]]",tiny_mlp,44,3,253,63,9554,0.6067969506908312,0.6798418972332015,0.8087936583019438
0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]",tiny_mlp,44,4,253,63,9554,0.6237938470048867,0.6758893280632411,0.6964753468831381
0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]",tiny_mlp,44,5,254,62,9554,0.6107180963351032,0.65748031496063,0.735186884480138
0.578125,0.578125,0.5696139476961395,"[[14, 18], [9, 23]]",tiny_eegnet,42,1,252,64,1050,0.6564867231580946,0.6190476190476191,0.673696905374527
