session,held_month,condition,is_synthetic_fault,matched_simple_reference,matched_mindful_reference,pattern_distance,robust_rate_distance,absolute_log_rate_ratio,unexpected_silent_channels,global_mindful_kld,multi_reference_mindful_kld,simple_evidence_count,combined_evidence_count,simple_decision,global_mindful_decision,multi_mindful_decision,combined_decision,pattern_distance_threshold,pattern_distance_to_threshold,robust_rate_distance_threshold,robust_rate_distance_to_threshold,absolute_log_rate_ratio_threshold,absolute_log_rate_ratio_to_threshold,unexpected_silent_channels_threshold,unexpected_silent_channels_to_threshold,global_mindful_kld_threshold,global_mindful_kld_to_threshold,multi_reference_mindful_kld_threshold,multi_reference_mindful_kld_to_threshold
indy_20160407_02,2016-04,normal,False,2016-06,2016-10,0.6899920134518644,0.7939517562355078,0.08287547335291062,0,1.237010897329669,1.7235953910574862,0,0,pass,pass,pass,pass,0.950469952156717,0.7259482657880972,2.121789625344568,0.3741896683591212,0.8550720684903792,0.09692220855632251,5.0,0.0,16.63779044449207,0.07434946974820089,5.5133620478247565,0.3126214778036414
indy_20160407_02,2016-04,spike_thinning_50pct,True,2016-06,2016-12,0.6894072248154247,1.4385577824584268,0.7632401544751052,0,3.5561517962932054,1.2253717157455613,0,0,pass,pass,pass,pass,0.950469952156717,0.7253330031644731,2.121789625344568,0.6779926554805416,0.8550720684903792,0.8926033051490007,5.0,0.0,16.63779044449207,0.21373942700849843,5.5133620478247565,0.22225489730517875
indy_20160407_02,2016-04,spike_thinning_75pct,True,2016-06,2016-12,0.6742010590203258,3.0006164759767335,1.4606299203010296,0,18.122873505525767,7.222905042726534,2,3,abstain,warning,warning,abstain,0.950469952156717,0.7093344271331168,2.121789625344568,1.4141913223321791,0.8550720684903792,1.708195103226511,5.0,0.0,16.63779044449207,1.0892596325208155,5.5133620478247565,1.3100726888734364
indy_20160407_02,2016-04,channel_dropout_25pct,True,2016-06,2016-12,0.9084589238251948,1.1538929841420562,0.19723384189359872,8,3.093769239259511,2.1163053912514598,1,1,warning,pass,pass,warning,0.950469952156717,0.9557997301901078,2.121789625344568,0.5438300623016148,0.8550720684903792,0.23066341325101755,5.0,1.6,16.63779044449207,0.185948323461647,5.5133620478247565,0.383850248341015
indy_20160407_02,2016-04,channel_permutation,True,2016-10,2016-09,0.8177161208927709,1.1662458274279497,0.3255543328671809,0,0.666116962350384,0.5657564308478091,0,0,pass,pass,pass,pass,0.950469952156717,0.8603282187272584,2.121789625344568,0.5496519605418267,0.8550720684903792,0.3807332093561934,5.0,0.0,16.63779044449207,0.04003638371169061,5.5133620478247565,0.10261550501132477
indy_20160407_02,2016-04,thinning_65pct_plus_dropout_25pct,True,2016-12,2016-12,0.9014644462159959,2.2914941645103633,0.5429948422387111,7,16.90787436866834,6.711671883088901,2,3,abstain,warning,warning,abstain,0.950469952156717,0.9484407625622225,2.121789625344568,1.079981793264842,0.8550720684903792,0.6350281599039515,5.0,1.4,16.63779044449207,1.0162331605916868,5.5133620478247565,1.2173464802183498
indy_20160411_01,2016-04,normal,False,2016-06,2016-06,0.8795741638593998,1.4167201462868835,0.6516424094504653,0,2.22211243396511,1.8911178090341672,0,0,pass,pass,pass,pass,0.950469952156717,0.9254097532105595,2.121789625344568,0.6677005718966202,0.8550720684903792,0.7620906277536735,5.0,0.0,16.63779044449207,0.13355814531855337,5.5133620478247565,0.34300628049273296
indy_20160411_01,2016-04,spike_thinning_50pct,True,2016-06,2016-12,0.8682341390047639,0.8201533746677641,0.009318992346675046,0,1.0624709170409434,1.0089919839138901,0,0,pass,pass,pass,pass,0.950469952156717,0.9134787870301935,2.121789625344568,0.38653849791285283,0.8550720684903792,0.010898487613012117,5.0,0.0,16.63779044449207,0.06385889524126527,5.5133620478247565,0.183008475620058
indy_20160411_01,2016-04,spike_thinning_75pct,True,2016-12,2016-12,0.8622140164119453,1.511026416377677,0.11638735098447471,0,6.683817356759411,1.8934162706821704,0,0,pass,pass,pass,pass,0.950469952156717,0.9071449491438318,2.121789625344568,0.7121471414171393,0.8550720684903792,0.13611408356485713,5.0,0.0,16.63779044449207,0.40172505952988996,5.5133620478247565,0.3434231697933205
indy_20160411_01,2016-04,channel_dropout_25pct,True,2016-06,2016-06,0.9116092865310105,1.8627188427118435,0.22002045428749217,8,1.820968930512099,2.103265224670232,1,1,warning,pass,pass,warning,0.950469952156717,0.9591142618054074,2.121789625344568,0.8778998730420069,0.8550720684903792,0.2573121756578203,5.0,1.6,16.63779044449207,0.10944776210442834,5.5133620478247565,0.38148505511261593
indy_20160411_01,2016-04,channel_permutation,True,2016-12,2016-09,0.6805630895484795,2.2928429253774674,1.286710565963243,0,2.009584890734396,1.861898514635553,2,2,abstain,pass,pass,abstain,0.950469952156717,0.7160279901581421,2.121789625344568,1.080617464610857,0.8550720684903792,1.5047977981960245,5.0,0.0,16.63779044449207,0.12078436120702961,5.5133620478247565,0.33770655699459223
indy_20160411_01,2016-04,thinning_65pct_plus_dropout_25pct,True,2016-06,2016-12,0.9172315781277482,1.718717113350532,0.7506190374362482,8,5.597330680044841,1.4408149744327907,1,1,warning,pass,pass,warning,0.950469952156717,0.965029537279377,2.121789625344568,0.8100318206954288,0.8550720684903792,0.8778430089073759,5.0,1.6,16.63779044449207,0.33642271783137134,5.5133620478247565,0.2613314638027899
indy_20160411_02,2016-04,normal,False,2016-12,2016-06,0.8776263806106694,2.1682234397771296,1.0992327689489125,0,1.8845767822500092,2.0081024419902427,2,2,abstain,pass,pass,abstain,0.950469952156717,0.9233604688072907,2.121789625344568,1.0218842687691156,0.8550720684903792,1.2855440020273339,5.0,0.0,16.63779044449207,0.11327085700096057,5.5133620478247565,0.364224664473562
indy_20160411_02,2016-04,spike_thinning_50pct,True,2016-12,2016-12,0.8654572251053608,1.1406238502335584,0.40360114498612165,0,1.2239638401417094,0.7984518631305428,0,0,pass,pass,pass,pass,0.950469952156717,0.9105571650545572,2.121789625344568,0.5375763160536365,0.8550720684903792,0.4720083369097476,5.0,0.0,16.63779044449207,0.07356528766395792,5.5133620478247565,0.1448212281733909
indy_20160411_02,2016-04,spike_thinning_75pct,True,2016-12,2016-12,0.8646690372621969,1.780253971114419,0.2855737764852554,0,7.974671199334086,2.397706890738823,0,0,pass,pass,pass,pass,0.950469952156717,0.9097279038649999,2.121789625344568,0.8390341576985111,0.8550720684903792,0.33397626587128837,5.0,0.0,16.63779044449207,0.4793107129182587,5.5133620478247565,0.43489015775497913
indy_20160411_02,2016-04,channel_dropout_25pct,True,2016-12,2016-12,0.7729383011532618,2.4982105912145114,0.8920895658345055,8,2.864405167594896,3.060523876648713,3,3,abstain,pass,pass,abstain,0.950469952156717,0.8132169769274482,2.121789625344568,1.1774072987131392,0.8550720684903792,1.0432916694489627,5.0,1.6,16.63779044449207,0.17216259437521378,5.5133620478247565,0.5551102666758867
indy_20160411_02,2016-04,channel_permutation,True,2016-10,2016-09,0.7425790280115074,1.8024063240722619,0.8725944186562263,0,1.406397117761375,1.313459908752264,1,1,warning,pass,pass,warning,0.950469952156717,0.781275648248024,2.121789625344568,0.8494745673853318,0.8550720684903792,1.0204922494974986,5.0,0.0,16.63779044449207,0.08453028197785493,5.5133620478247565,0.23823211633099206
