epoch,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,train_loss_mean,train_accuracy_mean
1,0.5200421940928269,0.007963960374758217,0.5126582278481012,0.5284810126582279,0.5202299403116611,0.008022941297738345,0.5128390017225494,0.5287625686015303,0.5196458596556319,0.007694399660288374,0.5123456790123457,0.5276816435442936,0.7233965793837932,0.01062935178525286,0.7155131187577141,0.7354851744798309,0.6994634510469652,0.5461481511122045
2,0.5421940928270043,0.021070658602782892,0.5189873417721519,0.560126582278481,0.5424962277504038,0.021180099070907153,0.5192084284741417,0.560609702359492,0.5411300051069077,0.020308719725024748,0.5185051525722764,0.5577838855497498,0.711713062930996,0.010051879394895047,0.700520394028169,0.7199708634245153,0.6738071095149628,0.581495544282261
3,0.5559071729957806,0.02154069394162678,0.5316455696202531,0.5727848101265823,0.5562565930911082,0.02157883746200024,0.5319472819773264,0.5731482594239474,0.5547129338675028,0.0213304385610838,0.5307244631747943,0.5715447889360933,0.7090018947718356,0.013945842193599295,0.6948750478217081,0.7227593948019239,0.6611795022741682,0.6015210384604427
4,0.5643459915611815,0.0366779296428559,0.5253164556962026,0.5981012658227848,0.5645889249422479,0.0367865572120535,0.5254576773624965,0.5984657292793334,0.56375626985424,0.036201744574173265,0.5251452614706472,0.59693472736951,0.7031313296411946,0.016704561771865408,0.684803469127214,0.7175019412524759,0.649504963247342,0.612340502891684
5,0.5654008438818566,0.04273128502221329,0.5221518987341772,0.6075949367088608,0.5655303182042756,0.0428245137233489,0.5221527861234627,0.6077795136802467,0.5651980402414657,0.04260530083677828,0.5221471133143057,0.6073432740099407,0.6985273826945787,0.01807808247484588,0.6782208010471192,0.7128698407760848,0.6399158936776301,0.6241868564189686
6,0.5643459915611814,0.026914242240871442,0.5443037974683544,0.5949367088607594,0.5644019815994339,0.027025225391413693,0.5442855426030525,0.5951207787525538,0.5642518234876986,0.02677430063944237,0.5442855426030525,0.5946769280102613,0.6955537643756117,0.015553211301671137,0.6786792587867337,0.7093146134773063,0.6328475979499387,0.6334325386533535
7,0.5590717299578059,0.021070658602782892,0.5411392405063291,0.5822784810126582,0.559147538356768,0.021138696291287666,0.5411408885150022,0.5824219845371149,0.5590065746400348,0.020994686689597475,0.5411346452355916,0.5821278300941695,0.6953009176082589,0.017603811066044684,0.676659904192235,0.7116412981161842,0.6268547097883259,0.6392380053283855
8,0.560126582278481,0.022819944781417665,0.5411392405063291,0.5854430379746836,0.5601824032902029,0.022843080727577597,0.5411809478027481,0.5855265793374194,0.5601111052538361,0.022801749172198366,0.5411346452355916,0.5854056706761345,0.6921391349161344,0.016447182289653924,0.6753105817130737,0.7081763803020638,0.6210850320963696,0.6418678478760641
9,0.5696202531645569,0.016745261462434144,0.5569620253164557,0.5886075949367089,0.5697632496094219,0.016836962006116327,0.557104514681729,0.588871529864199,0.5693689540329253,0.0164693706196392,0.5568022440392707,0.5880134788189987,0.6892463584968445,0.017995694427587042,0.67187684310794,0.7078088674180206,0.616248315525319,0.6458173294873055
10,0.5622362869198312,0.014955112741305697,0.5506329113924051,0.5791139240506329,0.5623589579243947,0.015078881204022492,0.5507350879301366,0.5793975083123022,0.5619685227324851,0.014583952187736168,0.5505608974358974,0.5784003932308124,0.69016788533009,0.017417997346411928,0.6728925517642773,0.7077251243674288,0.6114539500340539,0.6452694648346822
