factor,level,reference_level,matched_contexts,mean_paired_delta_vs_reference_level,paired_delta_sd,minimum_paired_delta,maximum_paired_delta,positive_context_count,tied_context_count
covariance,ledoit_wolf,empirical,36,0.0012028913903688568,0.009973898932863195,-0.0286624203821656,0.018988102391539474,22,2
covariance,oas,empirical,36,0.0025198404750141315,0.01096510126949375,-0.03817650122180827,0.022172815767335652,24,1
trial_trace_normalization,1,0,54,-0.0037321903083229837,0.0117450795963066,-0.03156671874374073,0.025397588430877693,18,2
f2_components_per_class,2,3,36,0.0038301130117017624,0.01204318888153796,-0.022092697191843924,0.031726955894724185,23,0
f2_components_per_class,1,3,36,0.01466781948394735,0.011819134218956476,-0.015803389015743297,0.044265512959179576,33,0
fusion,soft_vote,lda,54,-0.018403533525914645,0.013442686227253553,-0.053779593798822245,0.009514080839642669,5,1
