pipeline,outer_seed,accuracy,balanced_accuracy,macro_f1,confusion_matrix
nested_selected,42,0.629746835443038,0.6301526258863117,0.6284034373586613,"[[90, 69], [48, 109]]"
fixed_c_1,42,0.6487341772151899,0.6489804911268677,0.6483080162430441,"[[97, 62], [49, 108]]"
nested_selected,43,0.6075949367088608,0.6077795136802467,0.6073432740099407,"[[92, 67], [57, 100]]"
fixed_c_1,43,0.6265822784810127,0.6268076753595321,0.6262079473916357,"[[94, 65], [53, 104]]"
nested_selected,44,0.6265822784810127,0.6268477346472779,0.6260430038510911,"[[93, 66], [52, 105]]"
fixed_c_1,44,0.6550632911392406,0.6552697993029684,0.6547832623402656,"[[99, 60], [49, 108]]"
