outer_seed,outer_fold,inner_seed,inner_fold,c,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
42,1,42001,1,0.001,0.6436170212765957,0.5625,0.5625,0.5620723362658846,"[[19, 13], [15, 17]]"
42,1,42001,2,0.001,0.656084656084656,0.4603174603174603,0.4632056451612903,0.44334719334719336,"[[9, 23], [11, 20]]"
42,1,42001,3,0.001,0.6507936507936508,0.5714285714285714,0.5730846774193548,0.5675057208237986,"[[15, 17], [10, 21]]"
42,1,42001,4,0.001,0.6157894736842106,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[20, 11], [12, 19]]"
42,1,42001,1,0.003,0.6702127659574468,0.609375,0.609375,0.6069761729304839,"[[22, 10], [15, 17]]"
42,1,42001,2,0.003,0.671957671957672,0.5238095238095238,0.5257056451612903,0.5178571428571428,"[[13, 19], [11, 20]]"
42,1,42001,3,0.003,0.656084656084656,0.5238095238095238,0.5257056451612903,0.5178571428571428,"[[13, 19], [11, 20]]"
42,1,42001,4,0.003,0.6631578947368421,0.6129032258064516,0.6129032258064516,0.6129032258064516,"[[19, 12], [12, 19]]"
42,1,42001,1,0.01,0.7287234042553191,0.625,0.625,0.6235294117647059,"[[22, 10], [14, 18]]"
42,1,42001,2,0.01,0.7407407407407407,0.5396825396825397,0.5413306451612903,0.5354691075514875,"[[14, 18], [11, 20]]"
42,1,42001,3,0.01,0.7195767195767195,0.5238095238095238,0.5262096774193548,0.5138888888888888,"[[12, 20], [10, 21]]"
42,1,42001,4,0.01,0.7,0.6612903225806451,0.6612903225806451,0.6612021857923498,"[[20, 11], [10, 21]]"
42,1,42001,1,0.03,0.7925531914893617,0.625,0.625,0.6216748768472906,"[[23, 9], [15, 17]]"
42,1,42001,2,0.03,0.7883597883597884,0.5238095238095238,0.5252016129032258,0.52079107505071,"[[14, 18], [12, 19]]"
42,1,42001,3,0.03,0.7619047619047619,0.5396825396825397,0.5413306451612903,0.5354691075514875,"[[14, 18], [11, 20]]"
42,1,42001,4,0.03,0.7947368421052632,0.7258064516129032,0.7258064516129032,0.724011521340665,"[[25, 6], [11, 20]]"
42,1,42001,1,0.1,0.8617021276595744,0.609375,0.609375,0.6046454163577959,"[[23, 9], [16, 16]]"
42,1,42001,2,0.1,0.8624338624338624,0.5396825396825397,0.5413306451612903,0.5354691075514875,"[[14, 18], [11, 20]]"
42,1,42001,3,0.1,0.8571428571428571,0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]"
42,1,42001,4,0.1,0.8526315789473684,0.7258064516129032,0.7258064516129032,0.724011521340665,"[[25, 6], [11, 20]]"
42,1,42001,1,0.3,0.8829787234042553,0.609375,0.609375,0.6046454163577959,"[[23, 9], [16, 16]]"
42,1,42001,2,0.3,0.9047619047619048,0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]"
42,1,42001,3,0.3,0.8994708994708994,0.5238095238095238,0.5252016129032258,0.52079107505071,"[[14, 18], [12, 19]]"
42,1,42001,4,0.3,0.9157894736842105,0.7258064516129032,0.7258064516129032,0.7222661396574441,"[[26, 5], [12, 19]]"
42,1,42001,1,1.0,0.9414893617021277,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
42,1,42001,2,1.0,0.9470899470899471,0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]"
42,1,42001,3,1.0,0.9417989417989417,0.5555555555555556,0.5574596774193548,0.55,"[[14, 18], [10, 21]]"
