pipeline,representation,classifier,feature_count,seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max
current__logistic,current,logistic,196,3,0.6434599156118144,0.01495511274130574,0.6265822784810127,0.6550632911392406,0.643685988596456,0.014951486301578313,0.6268076753595321,0.6552697993029684,0.6430997419916484,0.014982714927931524,0.6262079473916357,0.6547832623402656
current__fisher,current,fisher,196,3,0.6139240506329114,0.018987341772151944,0.5949367088607594,0.6329113924050633,0.6143091775828226,0.018907983816047746,0.5954011937667748,0.6332171613988703,0.612606846579301,0.01961288552009535,0.5929638127440325,0.6321894441099739
terminal__logistic,terminal,logistic,252,3,0.6888185654008439,0.009135289069456088,0.6835443037974683,0.6993670886075949,0.6888528355299176,0.009216603864602244,0.6835316268076753,0.6994952529744021,0.6887850189208898,0.009099142052169175,0.6835316268076753,0.6992918031473189
terminal__fisher,terminal,fisher,252,3,0.6803797468354431,0.014501821819480534,0.6677215189873418,0.6962025316455697,0.6804270320073709,0.01454181113379525,0.6677682970796779,0.6963105395986059,0.6803580989583908,0.014478125168492964,0.6677181913774974,0.6961538461538461
combined__logistic,combined,logistic,448,3,0.6814345991561183,0.006587550631221912,0.6740506329113924,0.6867088607594937,0.6815553686122127,0.006412375081640785,0.6743380202699996,0.6865961623202339,0.6811314833833207,0.006803231622144171,0.6734980488930351,0.6865550512489105
combined__fisher,combined,fisher,448,3,0.6719409282700423,0.010172627385013656,0.6645569620253164,0.6835443037974683,0.6720279346766547,0.010173646137169323,0.6647438208548652,0.6836518046709129,0.671842329617093,0.010228346960563121,0.6643418310084976,0.6834935897435896
fourier_pca__logistic,fourier_pca,logistic,20,3,0.5791139240506329,0.006329113924050611,0.5727848101265823,0.5854430379746836,0.5791705056817423,0.006329409720338078,0.5728277851219805,0.5854865200496735,0.5790984681384342,0.00632920725374268,0.5727805317710679,0.5854388863852586
fourier_pca__fisher,fourier_pca,fisher,20,3,0.580168776371308,0.0018270578138912307,0.5791139240506329,0.5822784810126582,0.5802187237110924,0.001838695124807725,0.579157152585827,0.5823418659616232,0.5801603885141527,0.001819830165601374,0.5791097090781634,0.5822617473861315
