pipeline,representation,classifier,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,fit_seconds,accuracy,balanced_accuracy,macro_f1,confusion_matrix
combined__fisher,combined,fisher,42,5,254,62,448,0.9133858267716536,0.018082041991874576,0.6451612903225806,0.6451612903225806,0.6447916666666667,"[[19, 12], [10, 21]]"
fourier_pca__logistic,fourier_pca,logistic,42,5,254,62,20,0.6614173228346457,0.0005323330406099558,0.6451612903225806,0.6451612903225806,0.6447916666666667,"[[19, 12], [10, 21]]"
fourier_pca__fisher,fourier_pca,fisher,42,5,254,62,20,0.6653543307086615,0.0012379579711705446,0.6451612903225806,0.6451612903225806,0.6447916666666667,"[[19, 12], [10, 21]]"
current__logistic,current,logistic,43,1,252,64,196,0.9087301587301587,0.009030124987475574,0.625,0.625,0.6235294117647059,"[[18, 14], [10, 22]]"
current__fisher,current,fisher,43,1,252,64,196,0.8134920634920635,0.005239499965682626,0.609375,0.609375,0.6069761729304839,"[[17, 15], [10, 22]]"
terminal__logistic,terminal,logistic,43,1,252,64,252,0.8412698412698413,0.009218750055879354,0.671875,0.671875,0.6698599852616065,"[[19, 13], [8, 24]]"
terminal__fisher,terminal,fisher,43,1,252,64,252,0.8293650793650794,0.006878583924844861,0.65625,0.65625,0.6559139784946237,"[[20, 12], [10, 22]]"
combined__logistic,combined,logistic,43,1,252,64,448,0.9722222222222222,0.0238209170056507,0.671875,0.671875,0.6698599852616065,"[[19, 13], [8, 24]]"
combined__fisher,combined,fisher,43,1,252,64,448,0.9206349206349206,0.019511290942318738,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
fourier_pca__logistic,fourier_pca,logistic,43,1,252,64,20,0.6746031746031746,0.0005163339665159583,0.59375,0.59375,0.5873015873015872,"[[15, 17], [9, 23]]"
fourier_pca__fisher,fourier_pca,fisher,43,1,252,64,20,0.6904761904761905,0.0012767500011250377,0.59375,0.59375,0.5873015873015872,"[[15, 17], [9, 23]]"
current__logistic,current,logistic,43,2,252,64,196,0.9246031746031746,0.009941291064023972,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
current__fisher,current,fisher,43,2,252,64,196,0.7738095238095238,0.007830917020328343,0.578125,0.578125,0.5755342667649226,"[[16, 16], [11, 21]]"
terminal__logistic,terminal,logistic,43,2,252,64,252,0.8253968253968254,0.008987791952677071,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
terminal__fisher,terminal,fisher,43,2,252,64,252,0.7976190476190477,0.007266916101798415,0.671875,0.671875,0.6679021497405486,"[[25, 7], [14, 18]]"
combined__logistic,combined,logistic,43,2,252,64,448,0.9722222222222222,0.02319524995982647,0.71875,0.71875,0.71875,"[[23, 9], [9, 23]]"
combined__fisher,combined,fisher,43,2,252,64,448,0.9126984126984127,0.01771754096262157,0.65625,0.65625,0.6559139784946237,"[[20, 12], [10, 22]]"
