representation,source_dims,pca_dims,context_dims,key_dims,validation_r2,test_base_r2,test_corrected_r2,test_delta_r2,delta_ci95_low,delta_ci95_high,residual_r2,neighbour_residual_dispersion,neighbours,temperature,blend,bank_entries,pc_memlib_bytes,projected_mcu_bank_bytes,pc_exact_search_us_per_query,mcu_int8_mac_per_query_proxy
encoder_49,64,32,32,64,0.6884474158287048,0.6235851645469666,0.6908715963363647,0.0672864317893982,0.04099476337432861,0.08876768946647644,0.17713502049446106,0.015702448785305023,32,0.2,1.0,15930,903843,1631428,148.10075851324999,80128
gru_hidden_49,64,32,32,64,0.6952875256538391,0.6235851645469666,0.7149002552032471,0.09131509065628052,0.06137024909257889,0.11866823732852935,0.2398817539215088,0.014851382933557034,64,0.2,1.0,15930,903573,1631428,130.6135449937156,80128
encoder_gru_49,128,32,32,64,0.6889536380767822,0.6235851645469666,0.696514904499054,0.0729297399520874,0.046105469763278964,0.09706177711486816,0.19184991717338562,0.015260112471878529,32,0.2,1.0,15930,911774,1639876,126.15164187407736,80128
encoder_50step_mean,64,32,32,64,0.6647429466247559,0.6235851645469666,0.6889824271202087,0.06539726257324219,0.04161612987518311,0.08634321689605713,0.17310982942581177,0.017673658207058907,128,0.2,1.0,15930,898943,1631428,151.9448208394537,80128
