lookahead,nominal_ms,realized_ms,session,fold,epoch,learning_rate,optimization_loss,gradient_mean_before_clip,gradient_max_before_clip,train_loss,train_r2,validation_loss,validation_r2
future50ms,50,48,indy_20160622_01,1,1,0.0009,0.7635350545003023,1.287356518465897,3.529110908508301,0.46860867738723755,0.5313898921012878,0.5877793431282043,0.46788108348846436
future50ms,50,48,indy_20160622_01,1,2,0.000894459753267812,0.4361594189039401,1.0275746995005115,1.388857364654541,0.31301069259643555,0.6869885921478271,0.3967261016368866,0.6390199661254883
future50ms,50,48,indy_20160622_01,1,3,0.0008779754323328191,0.3324399558066626,1.1331140111232627,1.8598015308380127,0.23877878487110138,0.7612208724021912,0.3034478425979614,0.7199333310127258
future50ms,50,48,indy_20160622_01,1,4,0.0008509529358847655,0.2804359389907093,1.013978508012048,1.3673584461212158,0.2049635499715805,0.795035719871521,0.26488086581230164,0.7557462453842163
future50ms,50,48,indy_20160622_01,1,5,0.0008140576474687264,0.25194275184886356,0.9882475692650368,1.6476712226867676,0.19281317293643951,0.8071869611740112,0.27580490708351135,0.7476668357849121
future50ms,50,48,indy_20160622_01,1,6,0.0007681980515339464,0.23463575899090022,0.9768500636363852,1.336121916770935,0.17853908240795135,0.8214610815048218,0.25930050015449524,0.7614478468894958
future50ms,50,48,indy_20160622_01,1,7,0.0007145033635316129,0.21871852502828504,0.8685576936294293,1.475855827331543,0.16547736525535583,0.8345228433609009,0.23271408677101135,0.7856861352920532
future50ms,50,48,indy_20160622_01,1,8,0.0006542957248827961,0.2089440928880162,0.836241524795006,1.7020496129989624,0.15218554437160492,0.8478143811225891,0.24347849190235138,0.7747318148612976
future50ms,50,48,indy_20160622_01,1,9,0.0005890576474687265,0.18679135346872894,0.7844359771958713,1.1090211868286133,0.14224514365196228,0.8577542901039124,0.24256761372089386,0.7751555442810059
future50ms,50,48,indy_20160622_01,1,10,0.000520395509268104,0.18472180225474374,0.8252759349757227,1.5031331777572632,0.13508056104183197,0.8649194836616516,0.22217555344104767,0.7956284284591675
future50ms,50,48,indy_20160622_01,1,11,0.0004500000000000001,0.17734288294152942,0.8020638155526129,1.387110948562622,0.13059666752815247,0.8694028258323669,0.224538654088974,0.7915144562721252
future50ms,50,48,indy_20160622_01,1,12,0.00037960449073189633,0.17545631164165368,0.89396130422066,1.663413405418396,0.1251460760831833,0.8748539090156555,0.22337079048156738,0.793218731880188
future50ms,50,48,indy_20160622_01,1,13,0.0003109423525312738,0.16589053335997284,0.7744289122778794,2.0032007694244385,0.11562173068523407,0.8843779563903809,0.21732555329799652,0.7985357046127319
future50ms,50,48,indy_20160622_01,1,14,0.00024570427511720405,0.15958217003889885,0.7379430059728951,1.00932776927948,0.11533159017562866,0.8846683502197266,0.21780377626419067,0.7976237535476685
future50ms,50,48,indy_20160622_01,1,15,0.0001854966364683872,0.1554138612158107,0.7372849162282615,1.5237793922424316,0.11118870973587036,0.8888111114501953,0.2165594846010208,0.7995603680610657
future50ms,50,48,indy_20160622_01,1,16,0.00013180194846605368,0.15694124334588866,0.734248221948229,1.21924889087677,0.10994015634059906,0.8900595903396606,0.2168552279472351,0.7993806600570679
future50ms,50,48,indy_20160622_01,1,17,8.594235253127372e-05,0.15183470507067565,0.7097038626670837,1.479838490486145,0.11224129796028137,0.887758731842041,0.22044986486434937,0.7959203720092773
future50ms,50,48,indy_20160622_01,1,18,4.9047064115234504e-05,0.1538033802164095,0.7015425655348547,1.4789472818374634,0.10876436531543732,0.8912354111671448,0.21593815088272095,0.8001073598861694
future50ms,50,48,indy_20160622_01,1,19,2.2024567667180916e-05,0.14936933502951072,0.6640585064888,1.1361888647079468,0.10794419050216675,0.8920556306838989,0.21306507289409637,0.8026012182235718
future50ms,50,48,indy_20160622_01,1,20,5.540246732188055e-06,0.14909388310559338,0.654670853039314,0.9009581804275513,0.1079317182302475,0.8920682072639465,0.21328958868980408,0.8024320602416992
future50ms,50,48,indy_20160622_01,2,1,0.0009,0.770031515242798,1.4025437320981706,3.2777395248413086,0.4634304940700531,0.5365681052207947,0.4370808005332947,0.5237677097320557
future50ms,50,48,indy_20160622_01,2,2,0.000894459753267812,0.44455643809282497,1.1125538583312715,2.047297239303589,0.3138812184333801,0.6861187815666199,0.2967997193336487,0.6763864755630493
future50ms,50,48,indy_20160622_01,2,3,0.0008779754323328191,0.31935413876395147,0.977495157292911,1.4697948694229126,0.23712709546089172,0.762872576713562,0.24165335297584534,0.7360478043556213
future50ms,50,48,indy_20160622_01,2,4,0.0008509529358847655,0.282499079780577,1.0683399417570658,1.539793610572815,0.21711738407611847,0.7828826308250427,0.22652067244052887,0.7536247968673706
future50ms,50,48,indy_20160622_01,2,5,0.0008140576474687264,0.2432183434144001,0.8838669785431453,1.2670155763626099,0.20080237090587616,0.7991971969604492,0.2380073368549347,0.7388277649879456
