session,subject,fold,epoch,learning_rate,optimization_loss,gradient_mean_before_clip,gradient_max_before_clip,train_loss,train_r2,validation_loss,validation_r2
indy_20160622_01,indy,1,1,0.0009,0.7674424093250422,1.2572731457907578,2.8474185466766357,0.4627797603607178,0.537217378616333,0.558181643486023,0.49236249923706055
indy_20160622_01,indy,1,2,0.000894459753267812,0.4359437703131909,1.2409565058247796,2.2743709087371826,0.318265438079834,0.6817337274551392,0.3843936622142792,0.6451061964035034
indy_20160622_01,indy,1,3,0.0008779754323328191,0.3322097721506822,1.0091291111091087,1.420004963874817,0.245263934135437,0.7547353506088257,0.32622331380844116,0.7016302347183228
indy_20160622_01,indy,1,4,0.0008509529358847655,0.28017119638104093,1.0110998009813243,1.6858950853347778,0.2215775102376938,0.7784219980239868,0.2803681194782257,0.7399768233299255
indy_20160622_01,indy,1,5,0.0008140576474687264,0.26174809996905285,1.1669210586054573,2.292649507522583,0.18838843703269958,0.811611533164978,0.26995930075645447,0.7518954873085022
indy_20160622_01,indy,1,6,0.0007681980515339464,0.24645288630149514,1.150897922187016,1.891070008277893,0.1831969916820526,0.816802978515625,0.25635579228401184,0.763054370880127
indy_20160622_01,indy,1,7,0.0007145033635316129,0.22108900865084094,0.8752408726462002,1.3549003601074219,0.16276735067367554,0.837233304977417,0.2263193279504776,0.7904160022735596
indy_20160622_01,indy,1,8,0.0006542957248827961,0.20794324354237662,0.844160678057835,1.2415539026260376,0.15131720900535583,0.8486831188201904,0.24777747690677643,0.7711036205291748
indy_20160622_01,indy,1,9,0.0005890576474687265,0.1930183315236583,0.7738378448732968,1.1981451511383057,0.13917770981788635,0.8608224987983704,0.2234908491373062,0.7929635643959045
indy_20160622_01,indy,1,10,0.000520395509268104,0.18856917099515116,0.8604417443275452,1.3465598821640015,0.1460648626089096,0.853934645652771,0.24093899130821228,0.7765294313430786
indy_20160622_01,indy,1,11,0.0004500000000000001,0.1812107605043675,0.8034982044121315,1.1412839889526367,0.13388173282146454,0.866118311882019,0.2189364731311798,0.7969949245452881
indy_20160622_01,indy,1,12,0.00037960449073189633,0.17239542672101105,0.7630758162202507,1.0252928733825684,0.13047701120376587,0.869522750377655,0.22100085020065308,0.7946285009384155
indy_20160622_01,indy,1,13,0.0003109423525312738,0.1683024552671571,0.7617829914750724,1.353352427482605,0.12565955519676208,0.8743403553962708,0.2210855633020401,0.7956458330154419
indy_20160622_01,indy,1,14,0.00024570427511720405,0.16597609362415858,0.7758230310061882,1.5598798990249634,0.12149906158447266,0.8785009980201721,0.20650656521320343,0.8082457780838013
indy_20160622_01,indy,1,15,0.0001854966364683872,0.1617606921503011,0.7978557471571297,1.267529010772705,0.11800890415906906,0.881990909576416,0.2126639485359192,0.8026965856552124
indy_20160622_01,indy,1,16,0.00013180194846605368,0.15685957645181442,0.6758202684336695,0.883760929107666,0.1180456355214119,0.8819544315338135,0.21317356824874878,0.8018295168876648
indy_20160622_01,indy,1,17,8.594235253127372e-05,0.15950700478656415,0.726371719919402,1.0731112957000732,0.11353728175163269,0.8864626288414001,0.20665448904037476,0.8075538873672485
indy_20160622_01,indy,1,18,4.9047064115234504e-05,0.15883755041528325,0.6838695797426947,1.114453673362732,0.1145465299487114,0.885453462600708,0.20638997852802277,0.8083339333534241
indy_20160622_01,indy,1,19,2.2024567667180916e-05,0.1540613231396027,0.6642201625067612,1.1378806829452515,0.11323592066764832,0.8867640495300293,0.20466753840446472,0.8098649978637695
indy_20160622_01,indy,1,20,5.540246732188055e-06,0.15333339492517475,0.6722453534603119,0.9781121015548706,0.11318593472242355,0.886814296245575,0.20537835359573364,0.8091667890548706
indy_20160622_01,indy,2,1,0.0009,0.784571008666275,1.3016429502388527,3.662458658218384,0.47458985447883606,0.525409460067749,0.44463467597961426,0.5178816318511963
indy_20160622_01,indy,2,2,0.000894459753267812,0.4424966150726593,1.0859971724707504,1.4343630075454712,0.31857427954673767,0.6814243197441101,0.3073141872882843,0.6665406227111816
indy_20160622_01,indy,2,3,0.0008779754323328191,0.33390860619814927,1.1399326406676193,1.582837700843811,0.26289254426956177,0.7371063232421875,0.25623616576194763,0.7229866981506348
indy_20160622_01,indy,2,4,0.0008509529358847655,0.28182668999519284,0.9967911202332069,2.189473867416382,0.22873800992965698,0.7712621092796326,0.25364527106285095,0.7244906425476074
indy_20160622_01,indy,2,5,0.0008140576474687264,0.2552845347005512,0.9487412941866907,1.5127812623977661,0.1908435821533203,0.8091568350791931,0.2078515887260437,0.774503231048584
indy_20160622_01,indy,2,6,0.0007681980515339464,0.23149480011818657,0.9417041026312729,1.476805329322815,0.18196146190166473,0.8180389404296875,0.22319987416267395,0.7575821280479431
indy_20160622_01,indy,2,7,0.0007145033635316129,0.22293304798437302,0.9055060826498886,1.4777085781097412,0.1570918709039688,0.8429083228111267,0.19557812809944153,0.7876389026641846
indy_20160622_01,indy,2,8,0.0006542957248827961,0.20475928929713907,0.8549320451144514,1.3812570571899414,0.14978085458278656,0.8502192497253418,0.19647634029388428,0.7863480448722839
indy_20160622_01,indy,2,9,0.0005890576474687265,0.18772413896925025,0.7824002566008732,1.4054969549179077,0.1376568228006363,0.862342894077301,0.18827538192272186,0.7956722974777222
indy_20160622_01,indy,2,10,0.000520395509268104,0.18210074732535253,0.8409850227421728,1.6453713178634644,0.1334923654794693,0.8665071725845337,0.18755409121513367,0.7959452867507935
indy_20160622_01,indy,2,11,0.0004500000000000001,0.17556579615436385,0.82582403359742,2.1711525917053223,0.13967183232307434,0.860327959060669,0.21061421930789948,0.7699947953224182
indy_20160622_01,indy,2,12,0.00037960449073189633,0.17281346683851073,0.8035036859841183,1.2784497737884521,0.12336066365242004,0.8766391277313232,0.18592524528503418,0.7979007959365845
indy_20160622_01,indy,2,13,0.0003109423525312738,0.16262785916219413,0.8537292501022076,1.7287499904632568,0.11498817056417465,0.8850116729736328,0.18337960541248322,0.8003697395324707
indy_20160622_01,indy,2,14,0.00024570427511720405,0.16186132520904273,0.7694299046335549,1.2478188276290894,0.11195781826972961,0.888042151927948,0.1794165074825287,0.8050196170806885
indy_20160622_01,indy,2,15,0.0001854966364683872,0.15835230010314877,0.7453952061718908,1.0464292764663696,0.11327584087848663,0.886724591255188,0.18555565178394318,0.7979756593704224
indy_20160622_01,indy,2,16,0.00013180194846605368,0.15748536847604913,0.7738192122558067,1.2470219135284424,0.11277962476015091,0.8872200846672058,0.18253585696220398,0.8017454147338867
indy_20160622_01,indy,2,17,8.594235253127372e-05,0.1551525836138254,0.7264200726459766,1.2058964967727661,0.10949569195508957,0.8905045986175537,0.18065959215164185,0.8035173416137695
indy_20160622_01,indy,2,18,4.9047064115234504e-05,0.15170468187135105,0.6971257328987122,1.1824283599853516,0.10772721469402313,0.8922730088233948,0.17966775596141815,0.8046318292617798
indy_20160622_01,indy,2,19,2.2024567667180916e-05,0.14971271142367204,0.6629379884950046,0.9077367186546326,0.10807085782289505,0.8919291496276855,0.17890802025794983,0.805534839630127
indy_20160622_01,indy,2,20,5.540246732188055e-06,0.14877238853695648,0.6708009037478216,1.0504711866378784,0.10817153006792068,0.8918286561965942,0.1793477088212967,0.8050558567047119
indy_20160622_01,indy,3,1,0.0009,0.7742426245672825,1.2746647986872444,2.889127016067505,0.4723193049430847,0.5276787281036377,0.4971780776977539,0.49144840240478516
indy_20160622_01,indy,3,2,0.000894459753267812,0.4356662465832806,1.121566457995053,2.1975104808807373,0.31335628032684326,0.6866440773010254,0.34815552830696106,0.6455076932907104
