epoch,learning_rate_schedule,optimization_loss,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,train_loss,train_r2,validation_loss,validation_r2,session_draw_min,session_draw_max
1,0.0009,0.39719585181082656,0.967759622165135,3.710509777069092,0.2725740671157837,0.7274123430252075,0.42368030548095703,0.6005662679672241,385,386
2,0.000894459753267812,0.24321870085910396,0.831134985770498,1.3868988752365112,0.22615499794483185,0.7738152146339417,0.4164687991142273,0.6083484888076782,385,386
3,0.0008779754323328191,0.206581024150187,0.8117172000237873,1.448786973953247,0.20426931977272034,0.7957090139389038,0.3835199773311615,0.6398256421089172,385,386
4,0.0008509529358847655,0.18566218771257123,0.7475199149336134,1.5205786228179932,0.1888103187084198,0.8111758828163147,0.41772139072418213,0.6113356947898865,385,386
5,0.0008140576474687264,0.1704379015734265,0.7139910124880927,1.2950153350830078,0.17165090143680573,0.8283447027206421,0.3780233561992645,0.6438727378845215,385,386
6,0.0007681980515339464,0.15882335853523322,0.695247899549348,1.27001953125,0.1633492410182953,0.8366459608078003,0.38668954372406006,0.6322178840637207,385,386
7,0.0007145033635316129,0.14768966683938733,0.6594699430465698,1.0333303213119507,0.1580469310283661,0.8419461250305176,0.38248464465141296,0.6400421857833862,385,386
8,0.0006542957248827961,0.14162158926061336,0.6435289505549839,1.5143897533416748,0.15226668119430542,0.8477343916893005,0.3968559503555298,0.625708818435669,385,386
9,0.0005890576474687265,0.13446329086018888,0.6231889660017831,1.1711950302124023,0.14582763612270355,0.8541792035102844,0.3823740780353546,0.6403758525848389,385,386
10,0.000520395509268104,0.12712501852037655,0.6118061304943903,1.197978138923645,0.15027955174446106,0.8497087955474854,0.4102148115634918,0.6161243319511414,385,386
11,0.0004500000000000001,0.12311379286533501,0.5924861073493958,1.4417297840118408,0.13560660183429718,0.8643944263458252,0.39624494314193726,0.626270055770874,385,386
12,0.00037960449073189633,0.11777408779134153,0.5882511322838919,1.0587090253829956,0.13326214253902435,0.8667386174201965,0.4040701389312744,0.6221156716346741,385,386
13,0.0003109423525312738,0.11258393102444259,0.5647258991854531,1.1973499059677124,0.129914328455925,0.8700814843177795,0.4053930640220642,0.6161800622940063,385,386
14,0.00024570427511720405,0.10934313257401955,0.5566458463668823,0.9498917460441589,0.12593476474285126,0.8740617036819458,0.3937021791934967,0.6306041479110718,385,386
15,0.0001854966364683872,0.107350582365755,0.537998885171754,0.9465738534927368,0.12361719459295273,0.876376748085022,0.4071491062641144,0.6163796186447144,385,386
16,0.00013180194846605368,0.1036136877550108,0.5210927130494799,0.8748499751091003,0.121108777821064,0.8788844347000122,0.40325355529785156,0.6185976266860962,385,386
17,8.594235253127372e-05,0.10300096903738026,0.5228490918023245,0.9560571312904358,0.12005167454481125,0.8799422979354858,0.40543511509895325,0.6175060272216797,385,386
18,4.9047064115234504e-05,0.10144808465202383,0.5148923831326621,1.5269079208374023,0.11899271607398987,0.8810027837753296,0.4005745053291321,0.6228938102722168,385,386
19,2.2024567667180916e-05,0.10152642920913313,0.516787571481296,1.7148401737213135,0.11821471154689789,0.8817787170410156,0.4006069004535675,0.6222007274627686,385,386
20,5.540246732188055e-06,0.09912174031971818,0.49876967310905457,0.9414747357368469,0.11787722259759903,0.8821166157722473,0.40283188223838806,0.6201868057250977,385,386
