lookahead,nominal_ms,realized_ms,session,folds,test_r2_mean,test_r2_std,test_r2_min,test_r2_max
future50ms,50,48,indy_20160622_01,5,0.8046244144439697,0.011712371036575958,0.7884259223937988,0.8191992044448853
future50ms,50,48,indy_20160630_01,5,0.7225369930267334,0.013314809189395113,0.7070825099945068,0.7433136701583862
future50ms,50,48,indy_20170131_02,5,0.7457398295402526,0.02666159022758659,0.7234106063842773,0.7893451452255249
future50ms,50,48,overall_fold_macro,15,0.7576337456703186,0.039648516351447366,0.7070825099945068,0.8191992044448853
future100ms,100,100,indy_20160622_01,5,0.8028404951095581,0.009855099901731983,0.7870966196060181,0.8135344982147217
future100ms,100,100,indy_20160630_01,5,0.7343335032463074,0.018036450564345587,0.7065786123275757,0.7502140998840332
future100ms,100,100,indy_20170131_02,5,0.7289134383201599,0.02904346849034606,0.6907845735549927,0.7596899271011353
future100ms,100,100,overall_fold_macro,15,0.7553624788920085,0.03968041650765628,0.6907845735549927,0.8135344982147217
