seed,bin_ms,window_ms,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
42,10,200,0.7848101265822784,0.7845611505027441,0.7843869155127433,0.4552893311645718,"[[131, 28], [40, 117]]"
42,10,300,0.7943037974683544,0.7943957056443537,0.7942852564423568,0.4069570272970838,"[[124, 35], [30, 127]]"
42,10,400,0.8322784810126582,0.8324520290029244,0.8321961385473965,0.36771444772572376,"[[128, 31], [22, 135]]"
42,10,500,0.8417721518987342,0.8420061691303129,0.8416135370303541,0.3645428323828415,"[[128, 31], [19, 138]]"
42,20,200,0.7848101265822784,0.7845611505027441,0.7843869155127433,0.4552893311645718,"[[131, 28], [40, 117]]"
42,20,300,0.7943037974683544,0.7943957056443537,0.7942852564423568,0.4069570272970838,"[[124, 35], [30, 127]]"
42,20,400,0.8322784810126582,0.8324520290029244,0.8321961385473965,0.36771444772572376,"[[128, 31], [22, 135]]"
42,20,500,0.8417721518987342,0.8420061691303129,0.8416135370303541,0.3645428323828415,"[[128, 31], [19, 138]]"
42,50,200,0.7848101265822784,0.7845611505027441,0.7843869155127433,0.4552893311645718,"[[131, 28], [40, 117]]"
42,50,300,0.7943037974683544,0.7943957056443537,0.7942852564423568,0.4069570272970838,"[[124, 35], [30, 127]]"
42,50,400,0.8322784810126582,0.8324520290029244,0.8321961385473965,0.36771444772572376,"[[128, 31], [22, 135]]"
42,50,500,0.8417721518987342,0.8420061691303129,0.8416135370303541,0.3645428323828415,"[[128, 31], [19, 138]]"
42,100,200,0.7848101265822784,0.7845611505027441,0.7843869155127433,0.4552893311645718,"[[131, 28], [40, 117]]"
42,100,300,0.7943037974683544,0.7943957056443537,0.7942852564423568,0.4069570272970838,"[[124, 35], [30, 127]]"
42,100,400,0.8322784810126582,0.8324520290029244,0.8321961385473965,0.36771444772572376,"[[128, 31], [22, 135]]"
42,100,500,0.8417721518987342,0.8420061691303129,0.8416135370303541,0.3645428323828415,"[[128, 31], [19, 138]]"
43,10,200,0.8132911392405063,0.813143452309418,0.8131395640190429,0.4459571278847685,"[[133, 26], [33, 124]]"
43,10,300,0.7911392405063291,0.7910908144053199,0.7911057692307693,0.3973822591545708,"[[127, 32], [34, 123]]"
43,10,400,0.8417721518987342,0.841966109842567,0.8416706750040084,0.3761290443122063,"[[129, 30], [20, 137]]"
43,10,500,0.8291139240506329,0.8291871970516365,0.8291070784761447,0.35871208745921657,"[[130, 29], [25, 132]]"
43,20,200,0.8132911392405063,0.813143452309418,0.8131395640190429,0.4459571278847685,"[[133, 26], [33, 124]]"
43,20,300,0.7911392405063291,0.7910908144053199,0.7911057692307693,0.3973822591545708,"[[127, 32], [34, 123]]"
43,20,400,0.8417721518987342,0.841966109842567,0.8416706750040084,0.3761290443122063,"[[129, 30], [20, 137]]"
43,20,500,0.8291139240506329,0.8291871970516365,0.8291070784761447,0.35871208745921657,"[[130, 29], [25, 132]]"
43,50,200,0.8132911392405063,0.813143452309418,0.8131395640190429,0.4459571278847685,"[[133, 26], [33, 124]]"
43,50,300,0.7911392405063291,0.7910908144053199,0.7911057692307693,0.3973822591545708,"[[127, 32], [34, 123]]"
43,50,400,0.8417721518987342,0.841966109842567,0.8416706750040084,0.3761290443122063,"[[129, 30], [20, 137]]"
43,50,500,0.8291139240506329,0.8291871970516365,0.8291070784761447,0.35871208745921657,"[[130, 29], [25, 132]]"
43,100,200,0.8132911392405063,0.813143452309418,0.8131395640190429,0.4459571278847685,"[[133, 26], [33, 124]]"
43,100,300,0.7911392405063291,0.7910908144053199,0.7911057692307693,0.3973822591545708,"[[127, 32], [34, 123]]"
43,100,400,0.8417721518987342,0.841966109842567,0.8416706750040084,0.3761290443122063,"[[129, 30], [20, 137]]"
43,100,500,0.8291139240506329,0.8291871970516365,0.8291070784761447,0.35871208745921657,"[[130, 29], [25, 132]]"
44,10,200,0.7911392405063291,0.7908103993910989,0.7904593497568622,0.46700132491773666,"[[134, 25], [41, 116]]"
44,10,300,0.7974683544303798,0.7973400632936747,0.7973384640051306,0.40029341542241553,"[[130, 29], [35, 122]]"
44,10,400,0.8449367088607594,0.8451508232183632,0.8448108243547983,0.36766656262867353,"[[129, 30], [19, 138]]"
44,10,500,0.8164556962025317,0.8167287585626728,0.8161906290115533,0.3997603026449152,"[[123, 36], [22, 135]]"
44,20,200,0.7911392405063291,0.7908103993910989,0.7904593497568622,0.46700132491773666,"[[134, 25], [41, 116]]"
44,20,300,0.7974683544303798,0.7973400632936747,0.7973384640051306,0.40029341542241553,"[[130, 29], [35, 122]]"
44,20,400,0.8449367088607594,0.8451508232183632,0.8448108243547983,0.36766656262867353,"[[129, 30], [19, 138]]"
44,20,500,0.8164556962025317,0.8167287585626728,0.8161906290115533,0.3997603026449152,"[[123, 36], [22, 135]]"
44,50,200,0.7911392405063291,0.7908103993910989,0.7904593497568622,0.46700132491773666,"[[134, 25], [41, 116]]"
44,50,300,0.7974683544303798,0.7973400632936747,0.7973384640051306,0.40029341542241553,"[[130, 29], [35, 122]]"
44,50,400,0.8449367088607594,0.8451508232183632,0.8448108243547983,0.36766656262867353,"[[129, 30], [19, 138]]"
44,50,500,0.8164556962025317,0.8167287585626728,0.8161906290115533,0.3997603026449152,"[[123, 36], [22, 135]]"
44,100,200,0.7911392405063291,0.7908103993910989,0.7904593497568622,0.46700132491773666,"[[134, 25], [41, 116]]"
