representation,source_dims,pca_dims,context_dims,key_dims,validation_r2,test_base_r2,test_corrected_r2,test_delta_r2,delta_ci95_low,delta_ci95_high,residual_r2,neighbour_residual_dispersion,neighbours,temperature,blend,bank_entries,pc_memlib_bytes,projected_mcu_bank_bytes,pc_exact_search_us_per_query,mcu_int8_mac_per_query_proxy
encoder_49,64,32,32,64,0.6855757236480713,0.6341344714164734,0.6695541739463806,0.03541970252990723,0.009104324877262116,0.05412385016679763,0.11142092943191528,0.016739390790462494,64,0.2,1.0,27667,1507128,2758180,391.7663407579647,127104
gru_hidden_49,64,32,32,64,0.6899628639221191,0.6341344714164734,0.678415060043335,0.04428058862686157,0.018713171780109405,0.06618004590272904,0.13652226328849792,0.015531452372670174,128,0.2,1.0,27667,1506371,2758180,420.95597067265123,127104
encoder_gru_49,128,32,32,64,0.6907879114151001,0.6341344714164734,0.6738447546958923,0.039710283279418945,0.017721717059612275,0.05899052023887634,0.12412554025650024,0.016835547983646393,128,0.2,1.0,27667,1514849,2766628,360.584264561305,127104
encoder_50step_mean,64,32,32,64,0.6785021424293518,0.6341344714164734,0.6676735877990723,0.03353911638259888,0.010278746485710144,0.053965812921524046,0.10630229115486145,0.018385209143161774,128,0.2,1.0,27667,1498602,2758180,340.1737195809044,127104
