group,description,feature_count,standalone_balanced_accuracy_mean,standalone_balanced_accuracy_std,leave_one_out_drop_mean,leave_one_out_drop_std,shapley_mean,shapley_std,shapley_percentage_points_mean,shapley_percentage_points_std
A,five final causal-low-pass samples per channel,140,0.6497482941419968,0.026923986566365684,0.01584344830348916,0.009474021551896805,0.06855701994507424,0.009218599519297148,6.855701994507424,0.9218599519297148
B,"causal-low-pass means over the final 50, 100, and 200 ms",84,0.6424241210324614,0.008410836772778256,0.006329367463846491,0.008350295832656063,0.0601378929704852,0.006085454936506056,6.01378929704852,0.6085454936506056
C,causal-low-pass least-squares slope over the final 200 ms,28,0.6192164403316909,0.02868331022480041,0.029577107452362823,0.02287183914173027,0.06015792261435813,0.006487251884354509,6.015792261435813,0.6487251884354509
