subset,groups,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
A,A,43,2,252,64,140,0.7301587301587301,0.65625,0.65625,0.6532019704433498,"[[24, 8], [14, 18]]"
B,B,43,2,252,64,84,0.7063492063492064,0.625,0.625,0.6216748768472906,"[[23, 9], [15, 17]]"
C,C,43,2,252,64,28,0.6825396825396826,0.625,0.625,0.6235294117647059,"[[22, 10], [14, 18]]"
AB,A+B,43,2,252,64,224,0.7698412698412699,0.65625,0.65625,0.6532019704433498,"[[24, 8], [14, 18]]"
AC,A+C,43,2,252,64,168,0.8174603174603174,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
BC,B+C,43,2,252,64,112,0.7896825396825397,0.703125,0.703125,0.7013018914271678,"[[25, 7], [12, 20]]"
ABC,A+B+C,43,2,252,64,252,0.8253968253968254,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
none,none,43,3,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,43,3,253,63,140,0.7351778656126482,0.6984126984126984,0.6980846774193548,0.6981084489281211,"[[23, 9], [10, 21]]"
B,B,43,3,253,63,84,0.7193675889328063,0.6507936507936508,0.6496975806451613,0.6485801217038539,"[[23, 9], [13, 18]]"
C,C,43,3,253,63,28,0.691699604743083,0.5238095238095238,0.5236895161290323,0.5236895161290323,"[[17, 15], [15, 16]]"
AB,A+B,43,3,253,63,224,0.7509881422924901,0.6984126984126984,0.6980846774193548,0.6981084489281211,"[[23, 9], [10, 21]]"
AC,A+C,43,3,253,63,168,0.7984189723320159,0.6984126984126984,0.6985887096774194,0.6984126984126984,"[[22, 10], [9, 22]]"
BC,B+C,43,3,253,63,112,0.7905138339920948,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
ABC,A+B+C,43,3,253,63,252,0.8063241106719368,0.6984126984126984,0.6985887096774194,0.6984126984126984,"[[22, 10], [9, 22]]"
none,none,43,4,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,43,4,253,63,140,0.7430830039525692,0.6031746031746031,0.6043346774193548,0.6015684290412344,"[[17, 15], [10, 21]]"
B,B,43,4,253,63,84,0.7114624505928854,0.6031746031746031,0.6038306451612903,0.6027742749054226,"[[18, 14], [11, 20]]"
C,C,43,4,253,63,28,0.6719367588932806,0.6349206349206349,0.6365927419354839,0.631578947368421,"[[17, 15], [8, 23]]"
AB,A+B,43,4,253,63,224,0.7430830039525692,0.6349206349206349,0.6355846774193548,0.6345523329129886,"[[19, 13], [10, 21]]"
AC,A+C,43,4,253,63,168,0.7905138339920948,0.7619047619047619,0.7631048387096775,0.7609410574247406,"[[22, 10], [5, 26]]"
BC,B+C,43,4,253,63,112,0.7509881422924901,0.7619047619047619,0.7631048387096775,0.7609410574247406,"[[22, 10], [5, 26]]"
ABC,A+B+C,43,4,253,63,252,0.7984189723320159,0.7619047619047619,0.7631048387096775,0.7609410574247406,"[[22, 10], [5, 26]]"
none,none,43,5,254,62,0,0.5039370078740157,0.5,0.5,0.3333333333333333,"[[31, 0], [31, 0]]"
A,A,43,5,254,62,140,0.7283464566929134,0.6935483870967742,0.6935483870967742,0.6928292046936115,"[[20, 11], [8, 23]]"
B,B,43,5,254,62,84,0.7047244094488189,0.6774193548387096,0.6774193548387097,0.6760710553814002,"[[19, 12], [8, 23]]"
C,C,43,5,254,62,28,0.6771653543307087,0.5483870967741935,0.5483870967741935,0.5483870967741935,"[[17, 14], [14, 17]]"
AB,A+B,43,5,254,62,224,0.7480314960629921,0.7258064516129032,0.7258064516129032,0.724011521340665,"[[20, 11], [6, 25]]"
AC,A+C,43,5,254,62,168,0.7874015748031497,0.6774193548387096,0.6774193548387096,0.6774193548387096,"[[21, 10], [10, 21]]"
BC,B+C,43,5,254,62,112,0.7559055118110236,0.6612903225806451,0.6612903225806452,0.6604954367666231,"[[19, 12], [9, 22]]"
ABC,A+B+C,43,5,254,62,252,0.7913385826771654,0.6935483870967742,0.6935483870967742,0.6934686442883163,"[[21, 10], [9, 22]]"
