seed,group,shapley_balanced_accuracy,shapley_percentage_points
42,A,0.057985819012137944,5.798581901213795
42,B,0.058005848656010876,5.800584865601087
42,C,0.06753995913952648,6.753995913952648
43,A,0.07492422118068072,7.492422118068072
43,B,0.06700249702893615,6.700249702893616
43,C,0.057568534764785205,5.75685347647852
44,A,0.07276101964240407,7.276101964240407
44,B,0.055405333226508556,5.540533322650855
44,C,0.05536527393876269,5.536527393876269
