epoch,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,train_loss_mean,train_accuracy_mean
1,0.49789029535864976,0.011980819294937287,0.48417721518987344,0.5063291139240507,0.4983375395585467,0.01023432484991666,0.48666025718062733,0.5057485077915315,0.464284936711481,0.06255584444869097,0.39207100452040083,0.5018392012611665,0.7000671246855709,0.003925841917990435,0.69741877091148,0.7045775064436964,0.697596579026546,0.49841791021181636
2,0.48839662447257376,0.009667881212987001,0.4778481012658228,0.49683544303797467,0.48898369586988744,0.010063655327554957,0.47752673957457037,0.49639466410287225,0.45549417877598325,0.05229329276727911,0.39599434887393004,0.49415566764323904,0.6986448072461843,0.003296665904459767,0.6954793456132348,0.7020586294239436,0.6949209786437062,0.5068574185143853
3,0.49261603375527424,0.006587550631221943,0.4873417721518987,0.5,0.4932433334668643,0.008157361922643467,0.48712093898970477,0.5025037054841165,0.4612812882316433,0.045287672197349964,0.4089962121212121,0.48824624050696575,0.6970671297044406,0.004010792496399967,0.692534514474566,0.7001568484151311,0.6911862706511992,0.5260819917273186
4,0.48206751054852326,0.004833940606493497,0.4778481012658228,0.4873417721518987,0.4826676815019562,0.006186674658340195,0.4776068581500621,0.48956455554220246,0.4580368555839227,0.03588092788681486,0.4166552714344319,0.4804924014595613,0.6949758071059059,0.004418804498410337,0.689946779805216,0.698236977639872,0.686610684115379,0.5500735085979865
5,0.5010548523206751,0.012789404697238518,0.4936708860759494,0.5158227848101266,0.5015222529343428,0.012261299912489827,0.49337018787805953,0.5156231222208869,0.4840408466907287,0.03608701051313666,0.44451768842012745,0.5152353737404121,0.6940417589670771,0.004606985583906054,0.6887224994919997,0.6967599134679027,0.6826044143920551,0.5608950231682174
6,0.5147679324894515,0.0073082312555648584,0.5063291139240507,0.5189873417721519,0.5151757935077247,0.007950061457932523,0.5060689820934984,0.5207306814084846,0.5013033498406805,0.019091166365187897,0.48051049102314514,0.5180413405578969,0.6919365574188266,0.004722394865671346,0.6865140407092677,0.6951460603603657,0.6792643837726738,0.5748702772495994
7,0.5474683544303798,0.011409972390708841,0.5348101265822784,0.5569620253164557,0.5478040833767309,0.012113916912721831,0.5346112246124264,0.5584264711773425,0.5388990937684227,0.009428055970613667,0.53270238296434,0.5497491471001404,0.6909200224970334,0.00559377379520853,0.6849586694034182,0.6960540701781082,0.6762815736003331,0.5843586086653529
8,0.5516877637130801,0.0036541156277823967,0.5474683544303798,0.5537974683544303,0.5519568962063854,0.004149956603443454,0.5472299002523735,0.5550014020750711,0.5459391125982422,0.007904746039829954,0.5376809338521401,0.5534352292658482,0.6912307218323844,0.006373634399114037,0.684795741905629,0.6975411861668588,0.673790145785643,0.5840982574806607
9,0.5559071729957806,0.01495511274130574,0.5443037974683544,0.5727848101265823,0.5561364152278706,0.015493836906820093,0.5442855426030525,0.5736690301646437,0.5530643187979827,0.010520048989698138,0.5442855426030525,0.5647249686246901,0.690571843749748,0.007244018558748971,0.6830431411313034,0.697492899438821,0.6717298469088092,0.5880592165768473
10,0.5580168776371307,0.02245126229303035,0.5379746835443038,0.5822784810126582,0.5581927919988249,0.022937067462358986,0.5377959379882226,0.5830228738533029,0.5560181636682305,0.019734468001882173,0.537511528128634,0.5767857142857142,0.6895890428881741,0.0077952393267788096,0.6820241147909271,0.6975958001705079,0.6694810146030864,0.5978485479170176
11,0.5590717299578059,0.021070658602782892,0.5411392405063291,0.5822784810126582,0.5592009507404292,0.021480000893886967,0.5410207106517646,0.5829026959900653,0.557657231472898,0.01911195130186018,0.5409139639504243,0.578479324144064,0.6881556448194118,0.00873658423798983,0.6804413639970928,0.6976426438161215,0.6672342461972748,0.6036342459827568
12,0.5664556962025316,0.012658227848101278,0.5537974683544303,0.5791139240506329,0.5665384769458799,0.01292140254424449,0.5537595641549493,0.5795978047510315,0.565519771084487,0.011563002580808578,0.5537572485903433,0.5768723509217031,0.6867033123587719,0.00923066364879371,0.677834925739117,0.696257949054714,0.6650084887048066,0.608906503617219
13,0.5738396624472574,0.020345254770027313,0.5506329113924051,0.5886075949367089,0.5738092376717542,0.020458768887881323,0.5505347914914073,0.5889516484396907,0.5729799159474944,0.01977341202868361,0.550470847525546,0.587550200803213,0.6858481117449485,0.008416363223279242,0.6770009043221135,0.6937545821663,0.6630795370464777,0.6152213022120587
14,0.5738396624472574,0.009667881212986994,0.5632911392405063,0.5822784810126582,0.5737825314799236,0.009817413701680757,0.5631935264191003,0.5825822216880984,0.5729448269797555,0.009230472243933726,0.5631336405529953,0.5814569536423841,0.6846419050600953,0.00875349801766438,0.6757284199299777,0.6932261244175338,0.6605676160141203,0.6173293391027044
