seed,fold,training_cases,validation_cases,history_ms,update_ms,accuracy,balanced_accuracy,macro_f1,mean_log_loss,elapsed_seconds
42,1,252,64,500,50,0.84375,0.84375,0.84375,0.3687367368375955,0.018643457908183336
42,2,252,64,500,50,0.796875,0.796875,0.7964276975776854,0.4527420603787378,0.012852540938183665
42,3,253,63,500,50,0.7936507936507936,0.7943548387096775,0.7934426229508197,0.3743912841588162,0.011491791810840368
42,4,253,63,500,50,0.9047619047619048,0.905241935483871,0.9047379032258065,0.25554427332676005,0.011713125044479966
42,5,254,62,500,50,0.8709677419354839,0.8709677419354838,0.87042842215256,0.36991857886356894,0.01098425011150539
43,1,252,64,500,50,0.859375,0.859375,0.8590653290922436,0.3154788365669675,0.01245254185050726
43,2,252,64,500,50,0.84375,0.84375,0.8435972629521017,0.33854264240726184,0.011458541033789515
43,3,253,63,500,50,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38557740890788406,0.014728583162650466
43,4,253,63,500,50,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4115915777988694,0.011515750084072351
43,5,254,62,500,50,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3431290132296175,0.01051125000230968
44,1,252,64,500,50,0.765625,0.765625,0.7627872498146775,0.4036879262001482,0.011325707891955972
44,2,252,64,500,50,0.796875,0.796875,0.7956276099238517,0.48590992760902807,0.011219667037948966
44,3,253,63,500,50,0.8412698412698413,0.841733870967742,0.8412298387096775,0.4343022913698903,0.01240187487564981
44,4,253,63,500,50,0.7777777777777778,0.7762096774193548,0.775,0.4162340099675268,0.011708667036145926
44,5,254,62,500,50,0.9032258064516129,0.9032258064516129,0.9023109243697479,0.25493880657659124,0.011994833126664162
