accuracy,balanced_accuracy,macro_f1,confusion_matrix,model,seed,folds
0.5791139240506329,0.5793574490245563,0.5786032987416655,"[[86, 73], [60, 97]]",feature_linear,42,5
0.6044303797468354,0.6048351560309257,0.6029951253831851,"[[86, 73], [52, 105]]",feature_linear,43,5
0.5759493670886076,0.5760926170732684,0.5757964335804449,"[[88, 71], [63, 94]]",feature_linear,44,5
0.560126582278481,0.5604895244962544,0.558849819719385,"[[80, 79], [60, 97]]",tiny_eegnet,42,5
0.5759493670886076,0.5758923206345391,0.5758814102564103,"[[93, 66], [68, 89]]",tiny_eegnet,43,5
0.5727848101265823,0.572387132956776,0.5708897047729216,"[[101, 58], [77, 80]]",tiny_eegnet,44,5
0.5284810126582279,0.5285222128750551,0.528476290621401,"[[83, 76], [73, 84]]",csp_lda,42,5
0.5506329113924051,0.5506549693546449,0.550632911392405,"[[87, 72], [70, 87]]",csp_lda,43,5
0.5443037974683544,0.5444057204662901,0.5442307692307693,"[[84, 75], [69, 88]]",csp_lda,44,5
