session,held_month,baseline_r2,candidate_r2,candidate_minus_baseline_r2
indy_20160407_02,2016-04,0.23209518194198608,0.2490534782409668,0.016958296298980713
indy_20160411_01,2016-04,0.45759668946266174,0.4707006514072418,0.013103961944580078
indy_20160411_02,2016-04,0.4106753170490265,0.40673547983169556,-0.003939837217330933
indy_20160418_01,2016-04,0.45357537269592285,0.4915485680103302,0.03797319531440735
indy_20160419_01,2016-04,0.3335324227809906,0.3797689378261566,0.046236515045166016
indy_20160420_01,2016-04,0.5221825838088989,0.5352860689163208,0.013103485107421875
indy_20160426_01,2016-04,0.5189104676246643,0.5151262283325195,-0.0037842392921447754
indy_20160622_01,2016-06,0.4641483724117279,0.42992231249809265,-0.034226059913635254
indy_20160624_03,2016-06,0.6239808797836304,0.6328974962234497,0.008916616439819336
indy_20160627_01,2016-06,0.6433223485946655,0.6463146209716797,0.00299227237701416
indy_20160630_01,2016-06,-0.13647788763046265,-0.20001262426376343,-0.06353473663330078
indy_20160915_01,2016-09,0.7473778128623962,0.7546535730361938,0.007275760173797607
indy_20160916_01,2016-09,0.7651617527008057,0.7538802623748779,-0.011281490325927734
indy_20160921_01,2016-09,0.7606106996536255,0.7569260597229004,-0.0036846399307250977
indy_20160927_04,2016-09,0.7542126178741455,0.7584363222122192,0.0042237043380737305
indy_20160927_06,2016-09,0.687347412109375,0.6866565942764282,-0.0006908178329467773
indy_20160930_02,2016-09,0.7104288935661316,0.7122324109077454,0.0018035173416137695
indy_20160930_05,2016-09,0.7262429594993591,0.7197474241256714,-0.006495535373687744
indy_20161005_06,2016-10,0.708014190196991,0.7021472454071045,-0.005866944789886475
indy_20161006_02,2016-10,0.7040852308273315,0.7169334888458252,0.012848258018493652
indy_20161007_02,2016-10,0.6680434942245483,0.6778022050857544,0.009758710861206055
indy_20161011_03,2016-10,0.5855263471603394,0.6282482147216797,0.04272186756134033
indy_20161013_03,2016-10,-0.05413442850112915,-0.05728667974472046,-0.0031522512435913086
indy_20161014_04,2016-10,0.7163400053977966,0.7061758041381836,-0.010164201259613037
indy_20161017_02,2016-10,0.6396390199661255,0.644496738910675,0.0048577189445495605
indy_20161024_03,2016-10,0.500157356262207,0.45639026165008545,-0.04376709461212158
indy_20161025_04,2016-10,0.7629802227020264,0.7623227834701538,-0.0006574392318725586
indy_20161026_03,2016-10,0.7185219526290894,0.7168628573417664,-0.001659095287322998
indy_20161027_03,2016-10,0.5654276013374329,0.6151403188705444,0.04971271753311157
indy_20161206_02,2016-12,0.3143501281738281,0.31876203417778015,0.004411906003952026
indy_20161207_02,2016-12,0.7235143184661865,0.7182542085647583,-0.005260109901428223
indy_20161212_02,2016-12,0.6763588190078735,0.667789101600647,-0.008569717407226562
indy_20161220_02,2016-12,0.5666704177856445,0.554161787033081,-0.012508630752563477
