representation,source_dims,pca_dims,context_dims,key_dims,validation_r2,test_base_r2,test_corrected_r2,test_delta_r2,delta_ci95_low,delta_ci95_high,residual_r2,neighbour_residual_dispersion,neighbours,temperature,blend,bank_entries,pc_memlib_bytes,projected_mcu_bank_bytes,pc_exact_search_us_per_query,mcu_int8_mac_per_query_proxy
encoder_49,64,32,32,64,0.6890654563903809,0.7246606945991516,0.7374345064163208,0.01277381181716919,0.002835775911808014,0.02217986434698104,0.05613631010055542,0.004815282300114632,32,0.2,0.5,16422,919742,1678660,127.23705457413898,82112
gru_hidden_49,64,32,32,64,0.6899243593215942,0.7246606945991516,0.7375819087028503,0.01292121410369873,0.0032138973474502563,0.02183960974216461,0.05911749601364136,0.004650990944355726,128,0.1,0.5,16422,919247,1678660,152.97794121910226,82112
encoder_gru_49,128,32,32,64,0.6898913979530334,0.7246606945991516,0.7382514476776123,0.013590753078460693,0.0036011770367622375,0.02266284674406051,0.06981801986694336,0.00495772622525692,64,0.2,0.5,16422,927602,1687108,166.21096261383536,82112
encoder_50step_mean,64,32,32,64,0.681143045425415,0.7246606945991516,0.7265546321868896,0.0018939375877380371,-0.001057976484298706,0.004930867254734039,0.003420233726501465,0.004788266960531473,128,0.2,0.25,16422,911655,1678660,169.55071338078875,82112
