variant,hidden_components,covariance_shrinkage,session,held_month,decision,diagnostic_decision,hidden_state_kld_to_severe,output_state_kld_to_severe
hidden_8_shrinkage_0.10,8,0.1,indy_20160418_01,2016-04,pass,pass,0.08118323452858925,0.08115937010449892
hidden_8_shrinkage_0.10,8,0.1,indy_20160419_01,2016-04,pass,pass,0.06458832894978354,0.0050386804725836435
hidden_8_shrinkage_0.10,8,0.1,indy_20160420_01,2016-04,pass,pass,0.09648160357287182,0.07117386811819383
hidden_8_shrinkage_0.10,8,0.1,indy_20160426_01,2016-04,pass,pass,0.06001089620188017,0.05839231925981342
hidden_8_shrinkage_0.20,8,0.2,indy_20160407_02,2016-04,pass,pass,0.12204116087294238,0.10326456620781285
hidden_8_shrinkage_0.20,8,0.2,indy_20160411_01,2016-04,pass,pass,0.22160003620860283,0.2201161945994833
hidden_8_shrinkage_0.20,8,0.2,indy_20160411_02,2016-04,pass,pass,0.07374275659629216,0.0387653936912472
hidden_8_shrinkage_0.20,8,0.2,indy_20160418_01,2016-04,pass,pass,0.07662428881319852,0.08139803682696346
hidden_8_shrinkage_0.20,8,0.2,indy_20160419_01,2016-04,pass,pass,0.06647899165309978,0.0050520371832372835
hidden_8_shrinkage_0.20,8,0.2,indy_20160420_01,2016-04,pass,pass,0.09459904704007993,0.07121025081831964
hidden_8_shrinkage_0.20,8,0.2,indy_20160426_01,2016-04,pass,pass,0.0564825493839764,0.0560649026791775
hidden_3_shrinkage_0.05,3,0.05,indy_20160622_01,2016-06,pass,abstain,0.9042717092121753,0.7727925166100518
hidden_3_shrinkage_0.05,3,0.05,indy_20160624_03,2016-06,pass,pass,0.1571054518008987,0.17783349683348315
hidden_3_shrinkage_0.05,3,0.05,indy_20160627_01,2016-06,pass,pass,0.03153649946797436,0.0223199871964777
hidden_3_shrinkage_0.05,3,0.05,indy_20160630_01,2016-06,abstain,abstain,1.4407519663804995,1.2308218633335266
hidden_3_shrinkage_0.10,3,0.1,indy_20160622_01,2016-06,pass,abstain,0.9002527981675911,0.780530176461804
hidden_3_shrinkage_0.10,3,0.1,indy_20160624_03,2016-06,pass,pass,0.15618074756689584,0.1746875725065811
hidden_3_shrinkage_0.10,3,0.1,indy_20160627_01,2016-06,pass,pass,0.028498375621752437,0.0213352148826285
hidden_3_shrinkage_0.10,3,0.1,indy_20160630_01,2016-06,abstain,abstain,1.3818075599406052,1.242814011536968
hidden_3_shrinkage_0.20,3,0.2,indy_20160622_01,2016-06,pass,abstain,0.8926813171891299,0.794793832079823
hidden_3_shrinkage_0.20,3,0.2,indy_20160624_03,2016-06,pass,pass,0.15454219893322724,0.1687933198505436
hidden_3_shrinkage_0.20,3,0.2,indy_20160627_01,2016-06,pass,pass,0.02294501956275532,0.019512424809888334
hidden_3_shrinkage_0.20,3,0.2,indy_20160630_01,2016-06,abstain,abstain,1.2829404623120968,1.2649136343390437
hidden_5_shrinkage_0.05,5,0.05,indy_20160622_01,2016-06,pass,abstain,0.9054134606971909,0.7727925166100518
hidden_5_shrinkage_0.05,5,0.05,indy_20160624_03,2016-06,pass,warning,0.2063537932737045,0.17783349683348315
hidden_5_shrinkage_0.05,5,0.05,indy_20160627_01,2016-06,pass,pass,0.03838834194965994,0.0223199871964777
hidden_5_shrinkage_0.05,5,0.05,indy_20160630_01,2016-06,abstain,abstain,1.6228876827885717,1.2308218633335266
hidden_5_shrinkage_0.10,5,0.1,indy_20160622_01,2016-06,pass,abstain,0.8992066642579541,0.780530176461804
hidden_5_shrinkage_0.10,5,0.1,indy_20160624_03,2016-06,pass,warning,0.20291616615877536,0.1746875725065811
hidden_5_shrinkage_0.10,5,0.1,indy_20160627_01,2016-06,pass,pass,0.035126668591764415,0.0213352148826285
hidden_5_shrinkage_0.10,5,0.1,indy_20160630_01,2016-06,abstain,abstain,1.5099610286789535,1.242814011536968
hidden_5_shrinkage_0.20,5,0.2,indy_20160622_01,2016-06,pass,abstain,0.8875569123246058,0.794793832079823
hidden_5_shrinkage_0.20,5,0.2,indy_20160624_03,2016-06,pass,pass,0.1925878767483175,0.1687933198505436
hidden_5_shrinkage_0.20,5,0.2,indy_20160627_01,2016-06,pass,pass,0.029060333224738402,0.019512424809888334
hidden_5_shrinkage_0.20,5,0.2,indy_20160630_01,2016-06,abstain,abstain,1.339668881701258,1.2649136343390437
hidden_8_shrinkage_0.05,8,0.05,indy_20160622_01,2016-06,pass,abstain,1.007601102490808,0.7727925166100518
hidden_8_shrinkage_0.05,8,0.05,indy_20160624_03,2016-06,pass,pass,0.21204170749512335,0.17783349683348315
hidden_8_shrinkage_0.05,8,0.05,indy_20160627_01,2016-06,pass,pass,0.06299912896053286,0.0223199871964777
