seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,elapsed_seconds,bp_left_eigenvalue,bp_right_eigenvalue,bp_condition_number,erd_condition_number
42,1,252,64,0.859375,0.859375,0.8593406593406594,0.33672704158355854,0.057388707995414734,0.7751863309666283,0.16844961643904896,9089.270904111128,5075.269779824619
42,2,252,64,0.84375,0.84375,0.8435972629521017,0.36761013864319037,0.05680087488144636,0.7832847979542568,0.1677989298838511,9201.774967315949,5206.521422854542
42,3,253,63,0.746031746031746,0.7464717741935484,0.7459677419354839,0.5121311209502017,0.057700916891917586,0.8340564352279918,0.18785733164671642,10658.89433828435,5349.056347906594
42,4,253,63,0.9206349206349206,0.9203629032258065,0.9205548549810845,0.2178211027541624,0.05894224997609854,0.7663573638716612,0.15787913237999923,11137.827289636469,5040.928670508677
42,5,254,62,0.7903225806451613,0.7903225806451613,0.7876152832674572,0.35105519961020404,0.05741124995984137,0.7962080437539171,0.18094007298433928,9939.782468709525,5124.6912708558375
43,1,252,64,0.90625,0.90625,0.9058823529411765,0.20393777524273396,0.05749041703529656,0.7850015890881316,0.17485100501655546,9758.999372190452,5156.556216315202
43,2,252,64,0.8125,0.8125,0.8123167155425219,0.4126814136980264,0.05650545796379447,0.8088372921573763,0.20184965651402648,10087.681536653385,5223.6943415927235
43,3,253,63,0.8095238095238095,0.8074596774193548,0.8055555555555556,0.3864729910759201,0.05688149994239211,0.7941812466485085,0.1602280725008958,10163.346544049919,5073.327598309829
43,4,253,63,0.873015873015873,0.8734879032258065,0.872983870967742,0.3200379659760056,0.056124874856323004,0.7566738925321799,0.17011694171854488,10592.82204670164,5254.759409912
43,5,254,62,0.8870967741935484,0.8870967741935484,0.8863576852579209,0.28074851389135064,0.05606108414940536,0.7975743616443053,0.17901977253516096,8965.667734732697,5102.186710710947
44,1,252,64,0.8125,0.8125,0.8123167155425219,0.4224996209708218,0.05517629208043218,0.7955652947568231,0.1595739838580811,9796.409121620125,5156.0472918082205
44,2,252,64,0.859375,0.859375,0.8590653290922436,0.367698640588477,0.055987457977607846,0.8090375585715858,0.2015185272739765,9956.465304929674,5154.9754475383
44,3,253,63,0.9206349206349206,0.9213709677419355,0.9205548549810845,0.22984080890411102,0.056230375077575445,0.7846209789373041,0.1774389292094574,9481.862478192945,5225.3960749171865
44,4,253,63,0.7936507936507936,0.7918346774193548,0.790268886043534,0.41650294069614435,0.056156415957957506,0.7468767860763397,0.15317215310205953,9595.479713993675,5247.4384163560335
44,5,254,62,0.9193548387096774,0.9193548387096774,0.9193338537600833,0.2233712702971704,0.05660879099741578,0.7985905597673139,0.16083539199856656,10531.770669525691,5050.5142756051555
