seed,fold_a,fold_b,branch,class_specific_side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
42,1,2,bp,left,0.30913105794522006,0.30913105794522006,71.99312818069278,71.99312818069278
42,1,2,bp,right,0.26014015933673285,0.26014015933673285,74.92162113622214,74.92162113622214
42,1,2,erd,left,0.6665343605662065,0.04078568561324076,36.662181710935656,87.66250398418983
42,1,2,erd,right,0.869559007031573,0.643495846765689,23.734245218742398,49.94700731258857
42,1,3,bp,left,0.6231289310656443,0.6231289310656443,51.45501263821951,51.45501263821951
42,1,3,bp,right,0.6241628724154745,0.6241628724154745,51.37922914090475,51.37922914090475
42,1,3,erd,left,0.822756415289906,0.4850130490458408,25.219083881634706,60.986672649708716
42,1,3,erd,right,0.9486777685786104,0.8896559679893151,16.447967166794026,27.169952230079417
42,1,4,bp,left,0.6771783793965545,0.6771783793965545,47.37645680828711,47.37645680828711
42,1,4,bp,right,0.42508142506919955,0.42508142506919955,64.8441825379457,64.8441825379457
42,1,4,erd,left,0.6717212188495906,0.04300381842031973,35.40278673833853,87.53530263066625
42,1,4,erd,right,0.8809568184485181,0.692888525847094,23.157995474665285,46.140802090093075
42,1,5,bp,left,0.5544086295220674,0.5544086295220674,56.33000769198793,56.33000769198793
42,1,5,bp,right,0.07662959872185011,0.07662959872185011,85.60513905586548,85.60513905586548
42,1,5,erd,left,0.712319809402056,0.17314410029421415,33.92921102727993,80.0293257277524
42,1,5,erd,right,0.6434248849430293,0.004236620490389668,38.96425033781748,89.75725880033993
42,2,3,bp,left,0.6290196872660981,0.6290196872660981,51.02216618319982,51.02216618319982
42,2,3,bp,right,0.040648190346064275,0.040648190346064275,87.67038842110131,87.67038842110131
42,2,3,erd,left,0.8832995545467034,0.682935271770891,22.432156148083394,46.92655646141958
42,2,3,erd,right,0.8247356317652431,0.5172775816119363,27.127194036137098,58.85018641674689
42,2,4,bp,left,0.7289245113842943,0.7289245113842943,43.20369233320511,43.20369233320511
42,2,4,bp,right,0.3165596868349037,0.3165596868349037,71.54500363167219,71.54500363167219
42,2,4,erd,left,0.9481560121815176,0.8906746069132396,17.02683690006402,27.04185954621842
42,2,4,erd,right,0.8365923622679386,0.5537437332155419,26.28484978633442,56.37577022892401
42,2,5,bp,left,0.6554992973293438,0.6554992973293438,49.04247982840383,49.04247982840383
42,2,5,bp,right,0.7397797813533983,0.7397797813533983,42.28734030037425,42.28734030037425
42,2,5,erd,left,0.9374241581032271,0.8411907943554511,17.366819704674384,32.73392099592328
42,2,5,erd,right,0.7143839421351427,0.25199198835981973,35.8895907056845,75.40458084076802
42,3,4,bp,left,0.8342766722424324,0.8342766722424324,33.459404677833504,33.459404677833504
42,3,4,bp,right,0.054604403751721486,0.054604403751721486,86.86984130455893,86.86984130455893
42,3,4,erd,left,0.8519008980200043,0.5924481847407308,25.087392089684744,53.66906803085477
42,3,4,erd,right,0.8055078006842006,0.4829325017122089,29.403816051984265,61.12289587388073
42,3,5,bp,left,0.8520628300927002,0.8520628300927002,31.563251952663638,31.563251952663638
42,3,5,bp,right,0.5148044048169346,0.5148044048169346,59.01561797092886,59.01561797092886
42,3,5,erd,left,0.8710258100615945,0.6587325748590902,23.935549268536736,48.796716765450356
42,3,5,erd,right,0.6532014685478611,0.03268087365789549,38.650166118146245,88.12719039522474
42,4,5,bp,left,0.7468646448862643,0.7468646448862643,41.68049122200531,41.68049122200531
42,4,5,bp,right,0.1373651394751359,0.1373651394751359,82.10459322776543,82.10459322776543
