representation,source_dims,pca_dims,context_dims,key_dims,validation_r2,test_base_r2,test_corrected_r2,test_delta_r2,delta_ci95_low,delta_ci95_high,residual_r2,neighbour_residual_dispersion,neighbours,temperature,blend,bank_entries,pc_memlib_bytes,projected_mcu_bank_bytes,pc_exact_search_us_per_query,mcu_int8_mac_per_query_proxy
encoder_49,64,32,32,64,0.662647008895874,0.560906171798706,0.5613224506378174,0.0004162788391113281,-0.01684086173772812,0.01639013439416885,-0.025838136672973633,0.004084616433829069,64,0.2,0.5,16872,934440,1721860,196.05129020237027,83904
gru_hidden_49,64,32,32,64,0.6667762994766235,0.560906171798706,0.5672484636306763,0.006342291831970215,-0.014402659237384796,0.02652537003159523,-0.015635251998901367,0.003278801217675209,32,0.2,0.5,16872,933821,1721860,220.91497272369048,83904
encoder_gru_49,128,32,32,64,0.6638559103012085,0.560906171798706,0.5601797103881836,-0.0007264614105224609,-0.023187019675970078,0.017161775380372987,-0.03805804252624512,0.003840564750134945,32,0.2,0.5,16872,942367,1730308,194.11229452756345,83904
encoder_50step_mean,64,32,32,64,0.6589948534965515,0.560906171798706,0.5633301734924316,0.002424001693725586,-0.003482586145401001,0.0067280083894729606,-0.014072120189666748,0.0039581735618412495,128,0.2,0.25,16872,923983,1721860,174.4970445244035,83904
