config_label,seed,epoch,optimization_loss,train_loss,train_r2,validation_loss,validation_r2
activity64,42,1,0.41468032103790264,0.31946882605552673,0.6804823279380798,0.4624926745891571,0.5576349496841431
activity64,42,2,0.26168739769682786,0.250789999961853,0.7491731643676758,0.40661707520484924,0.6094210147857666
activity64,42,3,0.22659625626650431,0.22629809379577637,0.7736940383911133,0.4138653576374054,0.6091747879981995
activity64,42,4,0.202985051223629,0.20883385837078094,0.7911438345909119,0.3784210681915283,0.6450510025024414
activity64,42,5,0.1901196568177584,0.20059345662593842,0.7993932962417603,0.423921674489975,0.6058217883110046
activity64,42,6,0.177331986844673,0.1859273761510849,0.8140621185302734,0.36497166752815247,0.6565647125244141
activity64,42,7,0.16787478121601762,0.1808488517999649,0.819148063659668,0.3913418650627136,0.6320965886116028
activity64,42,8,0.16042952332053942,0.1728484332561493,0.8271383047103882,0.38848796486854553,0.6338130235671997
activity64,42,9,0.15345828919736065,0.165038600564003,0.8349442481994629,0.37575045228004456,0.6449740529060364
activity64,42,10,0.1462086347752236,0.1588631123304367,0.8411381244659424,0.378760427236557,0.6430144309997559
activity64,42,11,0.13909572080944474,0.1562165766954422,0.8437870144844055,0.4062705934047699,0.6171104311943054
activity64,42,12,0.13737399438216916,0.1514502763748169,0.8485528230667114,0.39492541551589966,0.6293792724609375
activity64,42,13,0.13168493372615286,0.14507260918617249,0.8549249172210693,0.401449978351593,0.6222076416015625
activity64,42,14,0.12824621031615024,0.14308230578899384,0.8569217920303345,0.4036240875720978,0.6210482120513916
activity64,42,15,0.12373009362876815,0.14049175381660461,0.8595101833343506,0.3960663974285126,0.627396285533905
activity64,42,16,0.12177622081716055,0.13885535299777985,0.8611506223678589,0.40090423822402954,0.6215420961380005
activity64,42,17,0.11937167724373624,0.13689307868480682,0.8631101846694946,0.40312710404396057,0.6201294660568237
activity64,42,18,0.11934681940132073,0.1354239583015442,0.8645789623260498,0.4010010361671448,0.6223053932189941
activity64,42,19,0.1179660232728493,0.13505813479423523,0.8649462461471558,0.4020823538303375,0.621611475944519
activity64,42,20,0.11695347799017392,0.13473227620124817,0.8652721643447876,0.40238356590270996,0.6215962171554565
activity64,43,1,0.4104539871135814,0.2901718020439148,0.7098159193992615,0.40341484546661377,0.6124109625816345
activity64,43,2,0.2593257243201237,0.24808982014656067,0.7518822550773621,0.3857424557209015,0.6346112489700317
activity64,43,3,0.22476402944633092,0.22044505178928375,0.7795259952545166,0.3641473948955536,0.6511984467506409
activity64,43,4,0.20671045932593762,0.20904256403446198,0.7909303307533264,0.3817211985588074,0.6367627382278442
activity64,43,5,0.1912142323594232,0.1943335235118866,0.8056579828262329,0.3885148763656616,0.6310318112373352
activity64,43,6,0.17768700741948165,0.1850668340921402,0.8149129748344421,0.3796125054359436,0.6387629508972168
activity64,43,7,0.16609679054160512,0.17591875791549683,0.8240629434585571,0.35552355647087097,0.6640160083770752
activity64,43,8,0.1603245812681164,0.17197385430335999,0.8280121088027954,0.410884827375412,0.6084728240966797
activity64,43,9,0.15265669279050506,0.1640252321958542,0.8359705805778503,0.3904262185096741,0.6337894201278687
activity64,43,10,0.14573979824981434,0.16566048562526703,0.8343331813812256,0.3916665017604828,0.6310689449310303
activity64,43,11,0.14122768757327292,0.15367715060710907,0.8463290333747864,0.3893561363220215,0.629999041557312
activity64,43,12,0.13601986410567157,0.14965800940990448,0.8503472805023193,0.3789770007133484,0.6420519351959229
activity64,43,13,0.13073999017810395,0.1470312625169754,0.8529691100120544,0.38583892583847046,0.6349366903305054
activity64,43,14,0.12785343872087382,0.14325332641601562,0.8567517995834351,0.378473162651062,0.642189621925354
activity64,43,15,0.12497911001811891,0.14100441336631775,0.8589996099472046,0.38070249557495117,0.6382519006729126
activity64,43,16,0.1216130916757605,0.1392001509666443,0.8608078956604004,0.3838517665863037,0.6370829343795776
activity64,43,17,0.12061175355375213,0.13738621771335602,0.8626194000244141,0.38945966958999634,0.6311923265457153
activity64,43,18,0.11891773465495782,0.13611643016338348,0.8638883233070374,0.38536104559898376,0.6358340382575989
activity64,43,19,0.11823905527991736,0.1351330280303955,0.8648704886436462,0.3810187876224518,0.6392011046409607
activity64,43,20,0.11622794245980196,0.13503357768058777,0.8649714589118958,0.38370928168296814,0.6368452310562134
activity64,44,1,0.40767837227724274,0.30473262071609497,0.6952344179153442,0.44640669226646423,0.5754331350326538
activity64,44,2,0.26511350803193895,0.24447664618492126,0.7554929256439209,0.3961465060710907,0.6209362745285034
activity64,44,3,0.2258416686935446,0.23124366998672485,0.7687305808067322,0.38698092103004456,0.6312571167945862
