config_label,channel_count,kernel_size,tcn_blocks,channel_dropout,parameter_count,validation_loss_mean,validation_loss_std,validation_pooled_r2_mean,validation_pooled_r2_std,validation_macro_r2_mean,validation_macro_r2_std,validation_worst_r2_mean,validation_worst_r2_min,train_validation_gap_mean,selected_epoch_mean
all96_chdrop020,96,3,4,0.2,86978,0.3187211950620015,0.0019184643576791514,0.7003919084866842,0.001896698064374329,0.7023412237564722,0.0015389671815731149,0.6084994872411092,0.5950090885162354,0.1459915041923523,14.333333333333334
stable72,72,3,4,0.0,83906,0.34623653690020245,0.00805628685401238,0.6734740932782491,0.007600496749454348,0.6770335137844086,0.0075871926633060685,0.5961287419001261,0.5782085061073303,0.15067789951960245,6.666666666666667
activity64,64,3,4,0.0,82882,0.3639082709948222,0.0064559003233488396,0.6565807660420736,0.0060643067480409246,0.6617447038491567,0.005796554498039673,0.5516668359438578,0.517554521560669,0.16428367296854654,6.666666666666667
all96_baseline,96,3,4,0.0,86978,0.37188322345415753,0.006326278826173832,0.6475594838460287,0.005700661719404782,0.6504233479499817,0.005213586030657704,0.5506821473439535,0.5380591154098511,0.18707029024759927,6.0
