seed,bin_number,prediction_time_ms,evaluated_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
42,1,50,316,0.5348101265822784,0.5347714617634098,0.5347681953388685,0.7833880423835397,"[[86, 73], [74, 83]]"
42,2,100,316,0.5253164556962026,0.5252173216360213,0.5251452614706471,0.8142006279105594,"[[86, 73], [77, 80]]"
42,3,150,316,0.5537974683544303,0.5537595641549493,0.5537572485903433,0.7375713820010822,"[[89, 70], [71, 86]]"
42,4,200,316,0.560126582278481,0.5602491687697793,0.5600164277629194,0.7157553714151399,"[[86, 73], [66, 91]]"
42,5,250,316,0.6360759493670886,0.6360814004726996,0.6360723048420209,0.6711477009926349,"[[101, 58], [57, 100]]"
42,6,300,316,0.6930379746835443,0.6928854704963345,0.6927887747431721,0.6002845411804797,"[[114, 45], [52, 105]]"
42,7,350,316,0.7341772151898734,0.7341665665184473,0.7341665665184473,0.5184361446042792,"[[117, 42], [42, 115]]"
42,8,400,316,0.7784810126582279,0.7785522573408645,0.7784721387653728,0.43840362291447654,"[[122, 37], [33, 124]]"
42,9,450,316,0.7943037974683544,0.7943957056443537,0.7942852564423568,0.39919754116304784,"[[124, 35], [30, 127]]"
42,10,500,316,0.8417721518987342,0.8420061691303129,0.8416135370303541,0.3645428323828415,"[[128, 31], [19, 138]]"
43,1,50,316,0.5189873417721519,0.5188879541721748,0.5188138649569225,0.8574218228283446,"[[85, 74], [78, 79]]"
43,2,100,316,0.5126582278481012,0.5127989424348035,0.5124824684431977,0.8517524263844005,"[[78, 81], [73, 84]]"
43,3,150,316,0.5632911392405063,0.5633137042823378,0.5632911392405063,0.758762985443715,"[[89, 70], [68, 89]]"
43,4,200,316,0.5664556962025317,0.5665384769458799,0.5664166174246597,0.7246666885802321,"[[88, 71], [66, 91]]"
43,5,250,316,0.6360759493670886,0.6361615190481913,0.6360431460134005,0.6792007630417589,"[[99, 60], [55, 102]]"
43,6,300,316,0.6993670886075949,0.6992548972479269,0.6992194936226919,0.6134908654432121,"[[114, 45], [50, 107]]"
43,7,350,316,0.75,0.7500901333974281,0.7499774655222491,0.5175368156147888,"[[117, 42], [37, 120]]"
43,8,400,316,0.7911392405063291,0.7911308736930658,0.7911308736930658,0.43496050605144504,"[[126, 33], [33, 124]]"
43,9,450,316,0.8069620253164557,0.8070544405720467,0.8069446252766733,0.39340882940431193,"[[126, 33], [28, 129]]"
43,10,500,316,0.8291139240506329,0.8291871970516365,0.8291070784761447,0.35871208745921657,"[[130, 29], [25, 132]]"
44,1,50,316,0.4651898734177215,0.464988182510115,0.46454103373940947,0.862667989619222,"[[79, 80], [89, 68]]"
44,2,100,316,0.5,0.5001402075071105,0.49981967541574834,0.8384455361562859,"[[76, 83], [75, 82]]"
44,3,150,316,0.5379746835443038,0.5376357008372391,0.5364706827954828,0.7762650198649771,"[[94, 65], [81, 76]]"
44,4,200,316,0.5632911392405063,0.5631935264191003,0.5631336405529954,0.7645701562571156,"[[92, 67], [71, 86]]"
44,5,250,316,0.6170886075949367,0.6169731202179225,0.6169006181931127,0.6828369222522328,"[[101, 58], [63, 94]]"
44,6,300,316,0.6772151898734177,0.6769619036173536,0.676580373269115,0.636137661625245,"[[114, 45], [57, 100]]"
44,7,350,316,0.7025316455696202,0.7024796699114689,0.7024839743589744,0.5630986820752438,"[[113, 46], [48, 109]]"
44,8,400,316,0.7468354430379747,0.7468253014461402,0.7468253014461402,0.4729814752506401,"[[119, 40], [40, 117]]"
44,9,450,316,0.7879746835443038,0.7879862196050155,0.7879725602123078,0.4213987046595964,"[[125, 34], [33, 124]]"
44,10,500,316,0.8164556962025317,0.8167287585626728,0.8161906290115533,0.3997603026449152,"[[123, 36], [22, 135]]"
