architecture_name,seed,session,held_month,windows,loss,r2_x,r2_y,r2_mean
baseline_64x64,42,indy_20160622_01,2016-06,1194,0.3470427691936493,0.49760979413986206,0.3432563543319702,0.42043307423591614
baseline_64x64,42,indy_20160624_03,2016-06,219,0.3520773947238922,0.5678274035453796,0.6713134050369263,0.6195703744888306
baseline_64x64,42,indy_20160627_01,2016-06,1651,0.4924628436565399,0.5028862953186035,0.6719262599945068,0.5874062776565552
baseline_64x64,42,indy_20160630_01,2016-06,701,1.3021761178970337,-0.2108461856842041,-0.16549551486968994,-0.18817085027694702
baseline_64x64,42,indy_20161005_06,2016-10,157,0.3626643419265747,0.6397590637207031,0.7538203001022339,0.6967896819114685
baseline_64x64,42,indy_20161006_02,2016-10,221,0.29676690697669983,0.6613818407058716,0.7966517210006714,0.7290167808532715
baseline_64x64,42,indy_20161007_02,2016-10,215,0.3442487418651581,0.6435016393661499,0.7726446986198425,0.7080731391906738
baseline_64x64,42,indy_20161011_03,2016-10,306,0.30038946866989136,0.563758134841919,0.733997642993927,0.6488778591156006
baseline_64x64,42,indy_20161013_03,2016-10,228,1.2647135257720947,-0.041936278343200684,-0.06427180767059326,-0.05310404300689697
baseline_64x64,42,indy_20161014_04,2016-10,229,0.23378220200538635,0.6597987413406372,0.826150119304657,0.7429744005203247
baseline_64x64,42,indy_20161017_02,2016-10,217,0.5577825903892517,0.591724693775177,0.6253995895385742,0.6085621118545532
baseline_64x64,42,indy_20161024_03,2016-10,206,0.8689277768135071,0.3451668620109558,0.35865652561187744,0.3519116938114166
baseline_64x64,42,indy_20161025_04,2016-10,222,0.35160353779792786,0.70475172996521,0.7759265303611755,0.7403391599655151
baseline_64x64,42,indy_20161026_03,2016-10,218,0.36903247237205505,0.6505672931671143,0.7742036581039429,0.7123854756355286
baseline_64x64,42,indy_20161027_03,2016-10,259,0.40339890122413635,0.6242121458053589,0.6363864541053772,0.6302993297576904
baseline_64x64,42,indy_20161206_02,2016-12,338,0.6302417516708374,0.4132082462310791,0.2778838276863098,0.34554603695869446
baseline_64x64,42,indy_20161207_02,2016-12,192,0.3441486358642578,0.6795946359634399,0.7838041186332703,0.7316993474960327
baseline_64x64,42,indy_20161212_02,2016-12,250,0.3989003002643585,0.6085649132728577,0.6891793012619019,0.6488721370697021
baseline_64x64,42,indy_20161220_02,2016-12,258,0.4690781831741333,0.5016235113143921,0.579668402671814,0.540645956993103
baseline_64x64,42,indy_20160407_02,2016-04,378,0.49993154406547546,0.05296027660369873,0.21498310565948486,0.1339716911315918
baseline_64x64,42,indy_20160411_01,2016-04,446,0.4688636064529419,0.3991357684135437,0.44434839487075806,0.4217420816421509
baseline_64x64,42,indy_20160411_02,2016-04,409,0.49672919511795044,0.3284870982170105,0.2662983536720276,0.29739272594451904
baseline_64x64,42,indy_20160418_01,2016-04,648,0.5119166970252991,0.3444696068763733,0.4344806671142578,0.38947513699531555
baseline_64x64,42,indy_20160419_01,2016-04,232,0.49773967266082764,0.3289233446121216,0.18702471256256104,0.2579740285873413
baseline_64x64,42,indy_20160420_01,2016-04,746,0.4694484770298004,0.4787400960922241,0.5594841241836548,0.5191121101379395
baseline_64x64,42,indy_20160426_01,2016-04,851,0.4555933177471161,0.42523348331451416,0.5763241052627563,0.5007787942886353
baseline_64x64,42,indy_20160915_01,2016-09,160,0.287199467420578,0.6826324462890625,0.8190382122993469,0.7508352994918823
baseline_64x64,42,indy_20160916_01,2016-09,195,0.2560001015663147,0.7207115292549133,0.7964224219322205,0.7585669755935669
baseline_64x64,42,indy_20160921_01,2016-09,150,0.38323310017585754,0.6799570918083191,0.7994333505630493,0.7396951913833618
baseline_64x64,42,indy_20160927_04,2016-09,164,0.3227977156639099,0.6182112693786621,0.8348261713981628,0.7265187501907349
